entidad,descripcion,titulo,icono,filtro,version_exe,version_zoo,version_cli,formulario,tipo,version,herencia,kontroler,orden,ubicaciondb,usaguid,centraliza,comportamiento,identificador,modulos,formatodescripcion,versionminimaderecepcion,versionminimadeemision
"ACCESOAOBJETO","Acceso a objeto","Acceso a objeto","","",7.00,0,0,F,"E",2,"","",0,"",F,F,"","AO","SUIOPTQDGHJKLMWN","","",""
"AGRUPAMIENTO","Agrupamientos de Bases de Datos","Agrupamientos","","",7.00,0,0,T,"E",2,"","",0,"PUESTO",F,F,"T","AGR","B","","",""
"ALEMANIA","Alemania","Alemania","","",0.00,0,0,F,"E",2,"","",1,"",F,F,"BT","018","B","","",""
"APERTURAAUTOMATICAENTIDADES","Apertura automática de entidades","Apertura automática de entidades","","",7.00,0,0,T,"E",2,"","",1,"ORGANIZACION",F,F,"B","AAE","B","","",""
"ARGENTINA","Argentina","Argentina","","",0.00,0,0,T,"E",2,"","",1,"",F,F,"BT","003","GH","","",""
"ARTICULO","Artículos","Artículos","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BT","ART","B","","",""
"Accionesautomaticas","Acciones automáticas","Acciones automáticas","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","AA","B","","",""
"BASEDEDATOS","Base de Datos","Base de Datos","","",7.00,0,0,F,"E",2,"","",0,"PUESTO",F,F,"","052","B","","",""
"BOLIVIA","Bolivia","Bolivia","C:\ZooDesarrollo\Proyectos\Nucleo\Imagenes\Iconos\lincew.ico","",0.00,0,0,F,"E",2,"","",1,"",F,F,"BTX","014","B","This.HoraAltaFW","",""
"BULGARIA","Bulgaria","Bulgaria","","",7.00,0,0,F,"E",2,"","",0,"",F,F,"","BUL","B","","",""
"BUZON","Buzón para paquetes de datos","Buzón para paquetes de datos","","",7.00,0,0,F,"E",2,"","",0,"PUESTO",F,F,"BT","044","B","","",""
"CAI","Código de Autorización de Autoimpresión","Código de Autorización de Autoimpresión","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"T","CAI","B","","",""
"CANADA","Canada","Canada","C:\ZooDesarrollo\Proyectos\Nucleo\Imagenes\Iconos\lincew.ico","",0.00,0,0,T,"E",2,"","",1,"",F,F,"BT","008","B","","",""
"CANADA2","Canada","Canada 2","C:\ZooDesarrollo\Proyectos\Nucleo\Imagenes\Iconos\lincew.ico","",0.00,0,0,F,"E",2,"","",1,"",F,F,"BT","023","B","","",""
"CHILE","Chile","Chile","","",0.00,0,0,F,"E",2,"","",1,"",F,F,"BT","CHI","B","","",""
"CHIPRE","Chipre","Chipre","C:\ZooDesarrollo\Proyectos\Nucleo\Imagenes\Iconos\lincew.ico","",0.00,0,0,T,"E",2,"","",1,"",F,F,"BT","004","B","","",""
