id,idnodo,parametro,tipodato,default,organizacion,puesto,sucursal,ayuda,version_exe,version_zoo,version_cli,paramint,paramusu,exe,longitud,decimales,idnodocliente,dominio,opciones,idunico
6,1,"Origen de Datos Preferente","C","PAISES",3,1,2,"Base de datos preferente para ingresar al sistema",0.00,0,0,"OrigenDeDatosPreferente","Base de Datos Preferente",F,0,0,1,"COMBOSUCURSALESSINREPLICA","","1AE325F1D14C0B14DA31A35F12995564156701"
10,1,"Permite Codigos En Minusculas","L",".F.",0,1,0,"Permite ingresar minusculas en los campos del tipo codigo",0.00,0,0,"PermiteCodigosEnMinusculas","Permite Códigos En Minúsculas",T,0,0,1,"","","1C2BD126B1803814CA518DB811377994759571"
43,1,"Habilitar Autoimpresor","L",".F.",2,3,1,"Indica si se imprimen comprobantes como Autoimpresor",0.00,0,0,"HabilitarAutoimpresor","Habilitar Autoimpresor",T,0,0,2,"","","152BA9FE31C99214C651988816797332473111"
76,1,"PrefijoBaseDeDatos","C","",0,0,1,"Prefijo para identificar la base de datos",0.00,0,0,"PrefijoBaseDeDatos","Prefijo de base de datos",T,3,0,9,"","","1B62042571553C147F11882A16814731787011"
96,1,"Sucursal","C","",3,2,1,"Sucursal a la cual pertenece la base de datos",0.00,0,0,"Sucursal","Sucursal",T,0,0,1,"COMBOSUCURSAL","","1C2D17A2C1F31514C5C1A25410222710684731"
98,1,"AgrupamientoParaConsultaDeStock","C","",0,0,1,"Agrupamiento para consulta y control de stock",0.00,0,0,"AgrupamientoParaConsultaDeStock","Agrupamiento para consulta y control de stock",F,8,0,250,"COMBOTABLAAGRUPA","","108F088F41A82414F321ADBB18525443512301"
106,1,"Avisar al cancelar una entidad mediante la tecla <ESC>","N","3",0,1,0,"Indicar si se prefiere confirmar el cierre de la entidad, al seleccionar la tecla <ESC>",0.00,0,0,"AvisarAlCancelarUnaEntidadMedianteLaTeclaEsc","Avisar al cancelar una entidad mediante la tecla <ESC>",T,1,0,1,"COMBO","Preguntar (Sugerir SI),Preguntar (Sugerir NO),No preguntar","1EE5942B31C9F61469719F0111675742753801"
125,1,"Modo de parametros de puesto","N","1",1,0,0,"Este parámetro especifica si los puestos van a ser identificados por el nombre de equipo (PC) o nombre de usuario del sistema operativo",0.00,0,0,"ModoDeParametrosDePuesto","Modo de parámetros de puesto",F,1,0,1,"COMBO","Por nombre de equipo, Por nombre de usuario","141455BAC189DB140D019EDB14236474416341"
5,2,"Sugerir Ultimo Usuario Logueado","L",".t.",3,1,2,"Sugiere que ya este ingresado en el nombre de usuario el ultimo usuario que ingreso al sistema",0.00,0,0,"SugerirUltimoUsuarioLogueado","Sugerir Ultimo Usuario Logueado",F,0,0,1,"","","196EF79431D0B7143CA1916E18917101278101"
9,2,"Numero de Usuarios Mostrados en Login","N","4",2,1,3,"Nº de Usuarios Mostrados en el Combo del Login",0.00,0,0,"NumeroDeUsuariosMostradosEnLogin","Numero de Usuarios Mostrados en Login",F,0,0,1,"","","1879E380110966147361BFAA17686754568431"
