entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"AJUSTECCCLIENTE","Anulado","ajucccli","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"AJUSTECCCLIENTE","FechaAltaFW","ajucccli","FAltaFW",F,"D",8,0,"CARACTER",F,"",F,"=goservicios.librerias.obtenerFecha()",F,""
"AJUSTECCCLIENTE","HoraAltaFW","ajucccli","HAltaFW",F,"C",8,0,"CARACTER",F,"",F,"=goservicios.librerias.obtenerHora()",F,""
"AJUSTECCCLIENTE","Valor","ajucccli","VALOR",T,"C",5,0,"CODIGO",F,"VALOR",F,"",T,""
"AJUSTECCCLIENTE","MonedaComprobante","ajucccli","Moneda",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",T,""
"AJUSTECCCLIENTE","Motivo","ajucccli","MOTIVO",T,"C",3,0,"CODIGO",F,"MOTIVO",F,"",T,""
"AJUSTECCCLIENTE","TipoComprobante","ajucccli","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=43",F,""
"AJUSTECCCLIENTE","Letra","ajucccli","FLETRA",T,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"="X"",T,""
"AJUSTECCCLIENTE","PuntoDeVenta","ajucccli","FPTOVEN",T,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"=goServicios.Parametros.Felino.Numeraciones.BocaDeExpendio",T,""
"AJUSTECCCLIENTE","Numero","ajucccli","FNUMCOMP",T,"N",8,0,"NUMEROCOMPROBANTE",F,"",F,"",T,""
"AJUSTECCCLIENTE","FechaVencimiento","","",F,"D",8,0,"FECHA",F,"",F,"",F,""
"AJUSTECCCLIENTE","Fecha","ajucccli","FFCH",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=GOLIBRERIAS.OBTENERFECHA()",T,""
"AJUSTECCCLIENTE","Cliente","","",F,"C",10,0,"CODIGO",F,"CLIENTE",F,"",F,""
"AJUSTECCCLIENTE","Codigo","ajucccli","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"AJUSTECCCLIENTE","SimboloMonetarioComprobante","","",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"AJUSTECCCLIENTE","AjusteDetalle","detajucccli","CODIGO",T,"G",38,0,"DETALLEITEMAJUSTECCCLIENTE",F,"",F,"",F,""
"AJUSTECCCLIENTE","Obs","ajucccli","FObs",T,"C",254,0,"OBSERVACION",F,"",T,"",F,""
