entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ARTICULO","Codigo","ART","ARTCOD",T,"C",15,0,"CODIGO",T,"",F,"",F,""
"ARTICULO","Descripcion","ART","ARTDES",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,""
"ARTICULO","DescripcionAdicional","ART","ARTDESADIC",T,"C",254,0,"DESCRIPCION",F,"",F,"",F,""
"ARTICULO","Comportamiento","ART","ASTOCK",T,"N",1,0,"COMBOXML",F,"",F,"",F,""
"ARTICULO","Observacion","ART","AObs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"ARTICULO","NoPermiteDevoluciones","ART","ARTNODEVO",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ARTICULO","RestringirDescuentos","ART","ArtSinDes",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ARTICULO","RequiereCCosto","ART","ReqCCosto",T,"N",1,0,"SINOBOOL",F,"",F,"",F,""
"ARTICULO","NoPublicarEnEcommerce","ART","PubEcom",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ARTICULO","SoloPromoYKit","ART","PromoYKit",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ARTICULO","Proveedor","ART","ARTFAB",T,"C",10,0,"CODIGO",F,"PROVEEDOR",F,"",F,""
"ARTICULO","UnidadDeMedida","ART","UniMed",T,"C",3,0,"CODIGO",F,"UNIDADDEMEDIDA",F,"",F,""
"ARTICULO","Temporada","ART","ATEMPORADA",T,"C",5,0,"CODIGO",F,"TEMPORADA",F,"",F,""
"ARTICULO","Ano","ART","Ano",T,"N",4,0,"NUMERICO",F,"",F,"",F,""
"ARTICULO","Familia","ART","Familia",T,"C",10,0,"CODIGO",F,"FAMILIA",F,"",F,""
"ARTICULO","Material","ART","Mat",T,"C",10,0,"CODIGO",F,"MATERIAL",F,"",F,""
"ARTICULO","Linea","ART","Linea",T,"C",10,0,"CODIGO",F,"LINEA",F,"",F,""
"ARTICULO","Grupo","ART","Grupo",T,"C",10,0,"CODIGO",F,"GRUPO",F,"",F,""
"ARTICULO","CategoriaDeArticulo","ART","CateArti",T,"C",10,0,"CODIGO",F,"CATEGORIADEARTICULO",F,"",F,""
"ARTICULO","Clasificacion","ART","ClasifArt",T,"C",10,0,"CODIGO",F,"CLASIFICACIONARTICULO",F,"",F,""
"ARTICULO","TipodeArticulo","ART","TipoArti",T,"C",10,0,"CODIGO",F,"TIPODEARTICULO",F,"",F,""
"ARTICULO","Imagen","ART","ARIMAGEN",T,"C",180,0,"IMAGENCONRUTADINAMICA",F,"",F,"",F,""
"ARTICULO","CondicionIvaVentas","ART","ARTCONIVA",T,"N",1,0,"COMBOCONDICIONIVA",F,"",F,"",F,""
"ARTICULO","PorcentajeIvaVentas","ART","ARTPORIVA",T,"N",5,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"ARTICULO","CondicionIvaCompras","ART","ARTIVA",T,"N",1,0,"COMBOCONDICIONIVA",F,"",F,"",F,""
"ARTICULO","PorcentajeIvaCompras","ART","ANX2",T,"N",5,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"ARTICULO","PorcentajeImpuestoInterno","ART","impinterno",T,"N",5,2,"IMPUESTOINTERNO",F,"",F,"",F,""
"ARTICULO","Nomenclador","ART","ARTNARBA",T,"C",6,0,"CODIGO",F,"NOMENCLADORARBA",F,"",F,""
"ARTICULO","PercepcionIvaRG5329","ART","ArtPercep",T,"N",1,0,"COMBOXML",F,"",F,"",F,""
"ARTICULO","Paletadecolores","ART","PalCol",T,"C",10,0,"CODIGO",F,"PALETADECOLORES",F,"",F,""
"ARTICULO","Curvadetalles","ART","Curtall",T,"C",10,0,"CODIGO",F,"CURVADETALLES",F,"",F,""
"ARTICULO","NoComercializable","ART","NOCOM",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"ARTICULO","RestringirArticulo","ART","ArtRest",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"ARTICULO","Importado","ART","Importado",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ARTICULO","ImprimeDespacho","ART","EsImpDes",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ARTICULO","ParticipantesDetalle","KitPartDet","CODIGO",T,"C",15,0,"DETALLEITEMPARTICIPANTES",F,"",F,"",F,""
"ARTICULO","DescEcommerce","ART","DesEco",T,"M",0,0,"OBSERVACION4R",F,"",F,"",F,""
"ARTICULO","DescEcommerceHTML","ART","DesEcoHTML",T,"M",0,0,"OBSERVACION8R",F,"",F,"",F,""
"ARTICULO","Peso","ART","ARTPESO",T,"N",11,3,"NUMERICO",F,"",F,"",F,""
"ARTICULO","Largo","ART","ARTLARGO",T,"N",11,2,"DIMENSION",F,"",F,"",F,""
"ARTICULO","Ancho","ART","ARTANCHO",T,"N",11,2,"DIMENSION",F,"",F,"",F,""
"ARTICULO","Alto","ART","ARTALTO",T,"N",11,2,"DIMENSION",F,"",F,"",F,""
"ARTICULO","Marca","ART","Marca",T,"C",30,0,"CODIGO",F,"MARCA",F,"",F,""
