entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"BUZON","Codigo","HOST","HOSCOD",T,"C",8,0,"CODIGO",T,"",F,"",F,""
"BUZON","HUNID","HOST","HUNID",F,"C",1,0,"CARACTER",F,"",F,"",F,""
"BUZON","DIRECTORIO","","",T,"C",250,0,"DIRECTORIO",F,"",F,"",T,""
"BUZON","HPATH","HOST","HPATH",F,"C",250,0,"CARACTER",F,"",F,"",F,""
"BUZON","Serie","HOST","HSERIE",T,"N",10,0,"NUMERICO",F,"",T,"",F,""
"BUZON","BaseDeDatos","HOST","BDATOS",T,"C",8,0,"COMBOSUCURSALESCONVACIO",F,"",F,"",F,""
"BUZON","OrigenDeDatos","HOST","HSUCORI",T,"C",8,0,"CODIGO",F,"ORIGENDEDATOS",F,"",F,""
"BUZON","HPATH1","HOST","HPATH1",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"BUZON","HPATH2","HOST","HPATH2",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"BUZON","CLIENTE","HOST","CLIENTE",T,"C",10,0,"CODIGO",F,"CLIENTE",F,"",F,""
"BUZON","PROVEEDOR","HOST","PROVEEDOR",T,"C",10,0,"CODIGO",F,"PROVEEDOR",F,"",F,""
"BUZON","HPATH3","HOST","HPATH3",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"BUZON","HDISCOVE","HOST","HDISCOVE",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"BUZON","HCOMPKIT","HOST","HCOMPKIT",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"BUZON","HTRANSTK","HOST","HTRANSTK",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"BUZON","HTRANART","HOST","HTRANART",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"BUZON","HDATESTK","HOST","HDATESTK",F,"D",8,0,"FECHA",F,"",F,"",F,""
"BUZON","HTIPOCONX","HOST","HTIPOCONX",F,"N",1,0,"NUMERICO",F,"",F,"=1",F,""
"BUZON","HCODFILTR","HOST","HCODFILTR",F,"C",2,0,"CARACTER",F,"",F,"",F,""
"BUZON","EsBuzonLince","HOST","HESLINCE",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"BUZON","Comportamiento","HOST","COMPORT",T,"N",1,0,"COMBOXML",F,"",F,"",F,""
"BUZON","OrigenFranquicia","HOST","ORIGFRAN",T,"C",8,0,"CODIGO",F,"ORIGENDEDATOS",F,"",F,""
"BUZON","ClienteFranquicia","HOST","CLIEFRAN",T,"C",10,0,"CODIGO",F,"CLIENTE",F,"",F,""
"BUZON","ProveedorFranquicia","HOST","PROVFRAN",T,"C",10,0,"CODIGO",F,"PROVEEDOR",F,"",F,""
"BUZON","Obs","HOST","Obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
