entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"CANCELACIONDESENIAS","TipoComprobante","cansenia","FACTTIPO",F,"N",2,0,"NUMERICO",F,"",F,"=45",F,""
"CANCELACIONDESENIAS","FechaAltaFW","cansenia","FAltaFW",F,"D",8,0,"CARACTER",F,"",F,"=goservicios.librerias.obtenerFecha()",F,""
"CANCELACIONDESENIAS","HoraAltaFW","cansenia","HAltaFW",F,"C",8,0,"CARACTER",F,"",F,"=goservicios.librerias.obtenerHora()",F,""
"CANCELACIONDESENIAS","Codigo","cansenia","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"CANCELACIONDESENIAS","Anulado","cansenia","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CANCELACIONDESENIAS","Cliente","cansenia","Cliente",F,"C",10,0,"CODIGO",F,"CLIENTE",F,"",F,""
"CANCELACIONDESENIAS","Clientedesde","cansenia","Cliedesde",T,"C",10,0,"CARACTER",F,"",F,"",F,""
"CANCELACIONDESENIAS","Clientehasta","cansenia","Cliehasta",T,"C",10,0,"CARACTER",F,"",F,"ZZZZZZZZZZ",F,""
"CANCELACIONDESENIAS","vigencia","cansenia","vigencia",T,"N",2,0,"COMBOXML",F,"",F,"",F,""
"CANCELACIONDESENIAS","Numero","cansenia","Numero",T,"N",8,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"CANCELACIONDESENIAS","Fecha","cansenia","FFCH",T,"D",8,0,"FECHACALENDARIO",F,"",F,"=goServicios.librerias.ObtenerFecha()",T,""
"CANCELACIONDESENIAS","Letra","cansenia","Letra",T,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"='X'",F,""
"CANCELACIONDESENIAS","PuntoDeVenta","cansenia","PtoVenta",T,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"=goServicios.Parametros.felino.Numeraciones.BocaDeExpendio",F,""
"CANCELACIONDESENIAS","SeniasCancDetalle","detcansenia","Codigo",T,"G",38,0,"DETALLEITEMCANCELACIONDESENIAS",F,"",F,"",F,""
"CANCELACIONDESENIAS","Observacion","cansenia","Obs",T,"M",0,0,"OBSERVACION",F,"",T,"",F,""
