entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"CLAVESECRETAREST","Codigo","SECRETREST","Codigo",T,"C",40,0,"CODIGO",T,"",F,"",F,""
"CLAVESECRETAREST","ClaveEncriptada","SECRETREST","p_key",F,"C",248,0,"CARACTER",F,"",F,"",F,""
"CLAVESECRETAREST","Usuario","","",F,"C",100,0,"CARACTER",F,"",F,"",F,""
"CLAVESECRETAREST","UsuarioEncriptado","SECRETREST","usuario",F,"C",248,0,"CARACTER",F,"",F,"",F,""
"CLAVESECRETAREST","claveprivada","","",T,"C",10,0,"CARACTER",F,"",T,"",T,""
"CLAVESECRETAREST","Servicio","SECRETREST","servicio",T,"C",20,0,"CODIGO",F,"SERVICIOREST",F,"",F,""
"CLAVESECRETAREST","Vigente","SECRETREST","Vigente",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CLAVESECRETAREST","ClaveDePaso","SECRETREST","clavePaso",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CLAVESECRETAREST","ImagenQR","","",T,"C",254,0,"CODIGOQR",F,"",F,"",F,""
"CLAVESECRETAREST","Obs","SECRETREST","OBS",F,"M",0,0,"OBSERVACION",F,"",F,"",F,""
