entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"CLIENTERECOMENDANTE","Codigo","CLI","CLCOD",T,"C",10,0,"CODIGO",T,"",F,"",T,""
"CLIENTERECOMENDANTE","FechaUltimaModificacion","CLI","CD1",F,"D",8,0,"FECHA",F,"",F,"",F,""
"CLIENTERECOMENDANTE","PIN","CLI","CLPIN",F,"C",60,0,"CARACTER",F,"",F,"",F,""
"CLIENTERECOMENDANTE","TipoInterno","CLI","CLTPO",F,"N",1,0,"NUMERICO",F,"",F,"1",F,""
"CLIENTERECOMENDANTE","idglobal","CLI","globalid",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"CLIENTERECOMENDANTE","CodRecomendante","CLI","CODRECOM",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"CLIENTERECOMENDANTE","NombreRecomendante","CLI","NOMRECOM",F,"C",60,0,"CARACTER",F,"",F,"",F,""
"CLIENTERECOMENDANTE","InactivoFW","CLI","InactivoFW",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CLIENTERECOMENDANTE","SituacionFiscal","CLI","CLIVA",T,"N",2,0,"COMBOTABLA",F,"SITUACIONFISCAL",F,"3",F,""
"CLIENTERECOMENDANTE","SitFiscalUruguay","","",T,"N",2,0,"COMBOXML",F,"",F,"2",F,""
"CLIENTERECOMENDANTE","PrimerNombre","CLI","CLPRINOM",T,"C",60,0,"DESCRIPCION",F,"",F,"",F,""
"CLIENTERECOMENDANTE","SegundoNombre","CLI","CLSEGNOM",T,"C",60,0,"DESCRIPCION",F,"",F,"",F,""
"CLIENTERECOMENDANTE","Apellido","CLI","CLAPELL",T,"C",60,0,"DESCRIPCION",F,"",F,"",F,""
"CLIENTERECOMENDANTE","Nombre","CLI","CLNOM",T,"C",185,0,"DESCRIPCION",F,"",T,"",T,""
"CLIENTERECOMENDANTE","Observacion","CLI","CLOBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"CLIENTERECOMENDANTE","IdCentralizador","CLI","centid",T,"N",10,0,"NUMERICO",F,"",F,"",F,""
"CLIENTERECOMENDANTE","Jurisdiccion","CLI","CLPROV",F,"C",2,0,"CARACTER",F,"",F,"",F,""
"CLIENTERECOMENDANTE","Calle","CLI","CLCalle",T,"C",250,0,"DIRECCION",F,"",F,"",F,""
"CLIENTERECOMENDANTE","Numero","CLI","CLNro",T,"N",5,0,"DIRECCION",F,"",F,"",F,""
"CLIENTERECOMENDANTE","Piso","CLI","ClPiso",T,"C",3,0,"DIRECCION",F,"",F,"",F,""
"CLIENTERECOMENDANTE","Departamento","CLI","CLDEPTO",T,"C",3,0,"DIRECCION",F,"",F,"",F,""
"CLIENTERECOMENDANTE","Localidad","CLI","CLLOC",T,"C",70,0,"DESCRIPCION",F,"",F,"",F,""
"CLIENTERECOMENDANTE","CodigoPostal","CLI","CLCP",T,"C",8,0,"CARACTER",F,"",F,"",F,""
"CLIENTERECOMENDANTE","Provincia","CLI","CLPRV",T,"C",2,0,"CODIGO",F,"PROVINCIA",F,"",F,""
"CLIENTERECOMENDANTE","Pais","CLI","CLPAIS",T,"C",3,0,"CODIGO",F,"PAISES",F,"",F,""
"CLIENTERECOMENDANTE","Telefono","CLI","CLTLF",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"CLIENTERECOMENDANTE","Movil","CLI","CLMovil",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"CLIENTERECOMENDANTE","Fax","CLI","CLFAX",T,"C",20,0,"CARACTER",F,"",F,"",F,""
"CLIENTERECOMENDANTE","EMail","CLI","CLEMAIL",T,"C",250,0,"MAIL",F,"",F,"",F,""
"CLIENTERECOMENDANTE","PaginaWeb","CLI","CLPAGEWEB",T,"C",60,0,"WEB",F,"",F,"",F,""
"CLIENTERECOMENDANTE","Clasificacion2","CLI","CLSER",F,"N",1,0,"CLASIFICACION",F,"",F,"1",F,""
