entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"COMPROBANTEDECAJA","Signodemovimiento","COMCAJ","signoMov",F,"N",2,0,"NUMERICO",F,"",F,"1",F,""
"COMPROBANTEDECAJA","CodigoOriginal","COMCAJ","CodigoOri",F,"C",20,0,"CARACTER",F,"",F,"",F,""
"COMPROBANTEDECAJA","FechaOriginal","COMCAJ","FechaOri",F,"D",8,0,"FECHA",F,"",F,"",F,""
"COMPROBANTEDECAJA","MonedaComprobante","COMCAJ","Moneda",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"COMPROBANTEDECAJA","Cotizacion","COMCAJ","Cotiz",F,"N",15,5,"NUMERICONONEGATIVO",F,"",F,"",T,""
"COMPROBANTEDECAJA","MonedaSistema","COMCAJ","MonSis",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,""
"COMPROBANTEDECAJA","CajaOrigen","COMCAJ","CajaOrig",T,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"this.ObtenerCajaOrigen()",T,""
"COMPROBANTEDECAJA","OrigenDestino","COMCAJ","ORIGDEST",T,"C",8,0,"CODIGO",F,"ORIGENDEDATOS",F,"",T,""
"COMPROBANTEDECAJA","Concepto","COMCAJ","Concepto",T,"C",10,0,"CODIGO",F,"CONCEPTOCAJA",F,"",T,""
"COMPROBANTEDECAJA","Tipo","COMCAJ","Tipo",T,"N",1,0,"COMBOXML",F,"",F,"",T,""
"COMPROBANTEDECAJA","CajaDestino","COMCAJ","CajaDest",T,"N",2,0,"CODIGONUMERICO",F,"CAJAESTADO",F,"",F,""
"COMPROBANTEDECAJA","Vendedor","COMCAJ","vendedor",T,"C",10,0,"CODIGO",F,"VENDEDOR",F,"",T,""
"COMPROBANTEDECAJA","Identificador","COMCAJ","Codigo",F,"C",20,0,"CODIGO",T,"",F,"",T,""
"COMPROBANTEDECAJA","Numero","COMCAJ","Numero",T,"N",10,0,"CLAVEDEBUSQUEDA",F,"",F,"",T,""
"COMPROBANTEDECAJA","Fecha","COMCAJ","Fecha",T,"D",8,0,"FECHACOMPROBANTE",F,"",T,"=goServicios.librerias.ObtenerFecha()",T,""
"COMPROBANTEDECAJA","Observacion","COMCAJ","CObs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"COMPROBANTEDECAJA","Valores","COMPCAJADET","CodDetVal",T,"C",20,0,"DETALLEITEMVALORESCAJA",F,"",F,"",F,""
