entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"CONDICIONDEPAGO","Codigo","CONDPAGO","CLCOD",T,"C",5,0,"CODIGO",T,"",F,"",T,""
"CONDICIONDEPAGO","Descripcion","CONDPAGO","CLNOM",T,"C",100,0,"DESCRIPCION",F,"",T,"",T,""
"CONDICIONDEPAGO","TipoDePagos","CONDPAGO","tipopago",T,"N",1,0,"COMBOXML",F,"",F,"1",F,""
"CONDICIONDEPAGO","FechaDeVencimiento","CONDPAGO","FechaVen",T,"N",1,0,"COMBOXML",F,"",F,"1",F,""
"CONDICIONDEPAGO","Observacion","CONDPAGO","OBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"CONDICIONDEPAGO","Frecuencia","CONDPAGO","frecuencia",T,"M",0,0,"FRECUENCIA",F,"",F,"",F,""
"CONDICIONDEPAGO","CantidadDePagos","CONDPAGO","CantPagos",T,"N",2,0,"NUMERICO",F,"",F,"",T,""
"CONDICIONDEPAGO","CuentaCorriente","CONDPAGO","Ctacte",T,"C",5,0,"CODIGO",F,"VALOR",F,"",T,""
"CONDICIONDEPAGO","Anticipo","CONDPAGO","anticipo",T,"N",5,2,"NUMERICO",F,"",F,"",F,""
"CONDICIONDEPAGO","CodigoValorAnticipo","CONDPAGO","cvalant",T,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"CONDICIONDEPAGO","Descuento","CONDPAGO","descuento",T,"N",6,2,"NUMERICO",F,"",F,"",F,""
"CONDICIONDEPAGO","Recargo","CONDPAGO","recargo",T,"N",6,2,"NUMERICO",F,"",F,"",F,""
"CONDICIONDEPAGO","PagosPersonalizados","DETPAGOSPERS","Codigo",T,"G",38,0,"DETALLEITEMPAGOSPERSONALIZADOS",F,"",F,"",F,""
