entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"CONSUMOCLIENTE","Codigo","CONCLI","Codigo",T,"G",38,0,"CODIGO",T,"",F,"",F,""
"CONSUMOCLIENTE","LimiteConsumo","CONCLI","limConsumo",F,"G",38,0,"CODIGO",F,"LIMITECONSUMO",F,"",F,""
"CONSUMOCLIENTE","BaseDeDatos","CONCLI","db",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"CONSUMOCLIENTE","Anulado","CONCLI","anul",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"CONSUMOCLIENTE","Signo","CONCLI","signo",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"CONSUMOCLIENTE","CodigoComprobante","CONCLI","codcomp",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"CONSUMOCLIENTE","Cliente","CONCLI","cliente",T,"C",10,0,"CARACTER",F,"",T,"",F,""
"CONSUMOCLIENTE","tipoComprobante","CONCLI","TipComp",T,"N",2,0,"NUMERICO",F,"",F,"",F,""
"CONSUMOCLIENTE","Letra","CONCLI","Letra",T,"C",1,0,"CARACTER",F,"",F,"",F,""
"CONSUMOCLIENTE","PuntoDeVenta","CONCLI","ptoVta",T,"N",4,0,"NUMERICO",F,"",F,"",F,""
"CONSUMOCLIENTE","Numero","CONCLI","num",T,"N",8,0,"NUMERICO",F,"",F,"",F,""
"CONSUMOCLIENTE","FechaComp","CONCLI","FecComp",T,"D",8,0,"FECHA",F,"",F,"",F,""
"CONSUMOCLIENTE","monto","CONCLI","monto",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"CONSUMOCLIENTE","Clasificacion","CONCLI","clasif",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"CONSUMOCLIENTE","Observacion","CONCLI","obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
