entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"COTIZACIONPRODUCCION","Codigo","COTIZAGOP","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"COTIZACIONPRODUCCION","GestionDeProduccion","COTIZAGOP","GestionPro",T,"G",38,0,"CODIGO",F,"GESTIONDEPRODUCCION",F,"",T,""
"COTIZACIONPRODUCCION","OrdenDeProduccion","COTIZAGOP","OrdenDePro",T,"G",38,0,"CODIGO",F,"ORDENDEPRODUCCION",F,"",T,""
"COTIZACIONPRODUCCION","Proceso","COTIZAGOP","Proceso",T,"C",15,0,"CODIGO",F,"PROCESOPRODUCCION",F,"",T,""
"COTIZACIONPRODUCCION","Taller","COTIZAGOP","Taller",T,"C",15,0,"CODIGO",F,"TALLER",F,"",F,""
"COTIZACIONPRODUCCION","Proveedor","COTIZAGOP","Proveedor",T,"C",10,0,"CODIGO",F,"PROVEEDOR",F,"",F,""
"COTIZACIONPRODUCCION","ListaDeCosto","COTIZAGOP","ListaC",T,"C",6,0,"CODIGO",F,"LISTADECOSTOSDEPRODUCCION",F,"",T,""
"COTIZACIONPRODUCCION","Moneda","COTIZAGOP","Moneda",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",T,""
"COTIZACIONPRODUCCION","Numero","COTIZAGOP","Numero",T,"N",12,0,"CLAVECANDIDATA",F,"",F,"",T,""
"COTIZACIONPRODUCCION","Fecha","COTIZAGOP","Fecha",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"=goServicios.librerias.ObtenerFecha()",F,""
"COTIZACIONPRODUCCION","Generar","COTIZAGOP","Genera",F,"N",2,0,"COMBOXML",F,"",F,"=1",F,""
"COTIZACIONPRODUCCION","Insumos","COTIZAGOP","Insumos",F,"N",2,0,"COMBOLIQUIDACIONTALLER",F,"",F,"=1",F,""
"COTIZACIONPRODUCCION","Descartes","COTIZAGOP","Descartes",F,"N",2,0,"COMBOLIQUIDACIONTALLER",F,"",F,"=1",F,""
"COTIZACIONPRODUCCION","Observ","COTIZAGOP","CObs",T,"M",0,0,"OBSERVACION",F,"",T,"",F,""
"COTIZACIONPRODUCCION","CotizacionOrdenProduccion","COTORDPROD","Cotizalqpr",T,"G",38,0,"DETALLEITEMCOTIZAORDENPRODUCC",F,"",F,"",F,""
"COTIZACIONPRODUCCION","CotizacionOrdenDescarte","COTORDDESC","Cotizalqde",T,"G",38,0,"DETALLEITEMCOTIZAORDENDESCARTE",F,"",F,"",F,""
"COTIZACIONPRODUCCION","CotizacionOrdenInsumos","COTORDINS","Cotizalqin",T,"G",38,0,"DETALLEITEMCOTIZAORDENINSUMOS",F,"",F,"",F,""
"COTIZACIONPRODUCCION","CotizacionOrdenAdicionales","COTORDADIC","Cotizalqad",T,"G",38,0,"DETALLEITEMCOTIZAORDENADICION",F,"",F,"",F,""
