entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"CTACTE","Codigo","CtaCte","Codigo",T,"C",48,0,"CODIGO",T,"",F,"",F,""
"CTACTE","CodigoComprobante","CtaCte","CodComp",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"CTACTE","Moneda","CtaCte","Moneda",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,"Valor.SimboloMonetario"
"CTACTE","IdGlobalCliente","CtaCte","clGlobalID",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"CTACTE","Cliente","CtaCte","Cliente",T,"C",10,0,"CODIGO",F,"CLIENTE",F,"",T,""
"CTACTE","Letra","CtaCte","letra",T,"C",1,0,"CARACTER",F,"",F,"",T,""
"CTACTE","PuntoDeVenta","CtaCte","ptovta",T,"N",4,0,"NUMERICO",F,"",F,"",T,""
"CTACTE","Numero","CtaCte","numero",T,"N",8,0,"NUMERICO",F,"",F,"",T,""
"CTACTE","Secuencia","ctacte","factsec",T,"C",2,0,"CARACTER",F,"",F,"",F,""
"CTACTE","TotalCC","CtaCte","TotalCC",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"CTACTE","FechaVencimiento","CtaCte","fechaven",T,"D",8,0,"FECHA",F,"",F,"",F,""
"CTACTE","TipoDeComprobante","CtaCte","TipoComp",T,"N",2,0,"NUMERICO",F,"",F,"",T,""
"CTACTE","SaldoCC","CtaCte","SaldoCC",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"CTACTE","Fecha","CtaCte","Fecha",F,"D",8,0,"FECHA",F,"",F,"",F,""
"CTACTE","Comprobante","CtaCte","Comprob",F,"C",100,0,"CARACTER",F,"",F,"",F,""
"CTACTE","Anotacion","CtaCte","anotacion",F,"C",100,0,"CARACTER",F,"",F,"",F,""
"CTACTE","Valor","CtaCte","Valor",T,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"CTACTE","SignoDeMovimiento","CtaCte","Signo",F,"N",2,0,"NUMERICO",F,"",F,"",T,""
"CTACTE","BaseDeDatosAltaFW","CtaCte","BDAltaFW",F,"C",8,0,"CARACTER",F,"",F,"",F,""
