entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"CTACTECOMPRA","Codigo","ccCompra","Codigo",T,"G",38,0,"CODIGO",T,"",F,"",F,""
"CTACTECOMPRA","CodigoComprobante","ccCompra","CodComp",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"CTACTECOMPRA","Moneda","ccCompra","Moneda",F,"C",10,0,"CODIGO",F,"MONEDA",F,"",F,"Valor.SimboloMonetario"
"CTACTECOMPRA","ComprometidoCC","ccCompra","ComPCC",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"CTACTECOMPRA","MontoComprobanteSinImpuesto","ccCompra","MontoSin",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"CTACTECOMPRA","MontoComprobanteConImpuesto","ccCompra","MontoCon",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"CTACTECOMPRA","MontoComprobanteGravado","ccCompra","MontoGra",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"CTACTECOMPRA","MontoComprobanteIva","ccCompra","MontoIVA",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"CTACTECOMPRA","Proveedor","ccCompra","Provee",T,"C",10,0,"CODIGO",F,"PROVEEDOR",F,"",T,""
"CTACTECOMPRA","Letra","ccCompra","letra",T,"C",1,0,"NROCOMPROBANTECOMPRASEDITABLE",F,"",F,"",F,""
"CTACTECOMPRA","PuntoDeVenta","ccCompra","ptovta",T,"N",4,0,"NROCOMPROBANTECOMPRASEDITABLE",F,"",F,"",T,""
"CTACTECOMPRA","Numero","ccCompra","numero",T,"N",8,0,"NROCOMPROBANTECOMPRASEDITABLE",F,"",F,"",T,""
"CTACTECOMPRA","TotalCC","ccCompra","TotalCC",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"CTACTECOMPRA","FechaVencimiento","ccCompra","fechaven",T,"D",8,0,"FECHA",F,"",F,"",F,""
"CTACTECOMPRA","FechaEmision","ccCompra","fechaemi",T,"D",8,0,"FECHA",F,"",F,"",F,""
"CTACTECOMPRA","TipoDeComprobante","ccCompra","TipoComp",T,"N",2,0,"NUMERICO",F,"",F,"",T,""
"CTACTECOMPRA","SaldoCC","ccCompra","SaldoCC",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"CTACTECOMPRA","Fecha","ccCompra","Fecha",F,"D",8,0,"FECHA",F,"",F,"",F,""
"CTACTECOMPRA","Comprobante","ccCompra","Comprob",F,"C",100,0,"CARACTER",F,"",F,"",F,""
"CTACTECOMPRA","Anotacion","ccCompra","anotacion",F,"C",100,0,"CARACTER",F,"",F,"",F,""
"CTACTECOMPRA","PuntoDeVentaExtendido","ccCompra","ptovtaext",T,"N",5,0,"NROCOMPROBANTECOMPRASEDITABLE",F,"",F,"",T,""
"CTACTECOMPRA","Valor","ccCompra","Valor",T,"C",5,0,"CODIGO",F,"VALOR",F,"",F,""
"CTACTECOMPRA","SignoDeMovimiento","ccCompra","Signo",F,"N",2,0,"NUMERICO",F,"",F,"",T,""
