entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"DATOSFISCALES","Codigo","DatosFiscales","Codigo",T,"C",8,0,"CODIGO",T,"",F,"",T,""
"DATOSFISCALES","Descripcion","DatosFiscales","Descripcio",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,""
"DATOSFISCALES","Obser","DatosFiscales","obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"DATOSFISCALES","PerceIIBB","DatosFiscalDet","CodRela",T,"C",8,0,"DETALLEITEMDATOSFISCALES",F,"",F,"",F,""
"DATOSFISCALES","NroObligatorio","DatosFiscales","Nroiibbobl",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"DATOSFISCALES","AutocompletarJurisdic","DatosFiscales","Autojur",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"DATOSFISCALES","AutocompletarPercRiesgo","DatosFiscales","Autoperr",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"DATOSFISCALES","RetPercSiempreSegunJurisdiccion","DatosFiscales","JurisdSiem",T,"C",8,0,"CODIGO",F,"JURISDICCION",F,"",F,""
"DATOSFISCALES","GeneraCompIIBBSeparados","DatosFiscales","SeparaIIBB",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"DATOSFISCALES","ExportacionesAutomaticasEnOP","DatosFiscales","ExpoEnOP",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"DATOSFISCALES","DatosAdicionalesComprobantesA","DatosFiscales","AFIP366814",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"DATOSFISCALES","DatosAdicionalesSiprib","DatosFiscales","DASiprib",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"DATOSFISCALES","ArtIncisoRetiene","DatosFiscales","RetSIPRIB",T,"N",2,0,"ComboSipribRetencion",F,"",F,"",F,""
"DATOSFISCALES","ArtIncisoPercibe","DatosFiscales","PerSIPRIB",T,"N",2,0,"ComboSipribPercepcion",F,"",F,"",F,""
"DATOSFISCALES","Reintegro","DatosFiscales","Reintegro",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"DATOSFISCALES","MontoMinimo","DatosFiscales","MontoMin",T,"N",10,2,"NUMERICO",F,"",F,"70",F,""
