entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"Datosretencionrecibido","codigo","CompRRData","codigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"Datosretencionrecibido","Cliente","","",T,"C",10,0,"CODIGOCLIENTECOMPROBANTE",F,"CLIENTE",F,"",T,""
"Datosretencionrecibido","ClienteDetalle","","",T,"C",185,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",T,"CLIENTE.NOMBRE"
"Datosretencionrecibido","Cuit","","",T,"C",15,0,"CUIT",F,"",F,"",T,""
"Datosretencionrecibido","Recibo","","",T,"C",20,0,"CARACTER",F,"",F,"",T,""
"Datosretencionrecibido","FechaRecibo","","",T,"D",8,0,"FECHA",F,"",F,"",T,""
"Datosretencionrecibido","Impuesto","","",T,"C",10,0,"CODIGO",F,"IMPUESTO",F,"",T,""
"Datosretencionrecibido","ImpuestoDetalle","","",F,"C",50,0,"CARACTER",F,"",F,"",F,"IMPUESTO.DESCRIPCION"
"Datosretencionrecibido","TipoImpuesto","","",T,"C",10,0,"CARACTER",F,"",F,"IVA",F,""
"Datosretencionrecibido","Regimen","","",T,"C",5,0,"CODIGO",F,"REGIMENIMPOSITIVO",F,"",F,""
"Datosretencionrecibido","RegimenDetalle","","",F,"C",100,0,"CARACTER",F,"",F,"",F,"REGIMEN.DESCRIPCION"
"Datosretencionrecibido","Jurisdiccion","","",T,"C",8,0,"CODIGO",F,"JURISDICCION",F,"",F,""
"Datosretencionrecibido","JurisdiccionDetalle","","",F,"C",50,0,"CARACTER",F,"",F,"",F,"JURISDICCION.DESCRIPCION"
"Datosretencionrecibido","Resolucion","","",T,"C",100,0,"CARACTER",F,"",F,"",F,""
"Datosretencionrecibido","NumeroCertificado","","",T,"C",20,0,"CARACTER",F,"",T,"",T,""
"Datosretencionrecibido","FechaCertificado","","",T,"D",8,0,"FECHACOMPROBANTE",F,"",F,"",T,""
"Datosretencionrecibido","Monto","","",T,"N",15,2,"NUMERICONONEGATIVO",F,"",F,"",T,""
"Datosretencionrecibido","Observaciones","","",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
