entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"DATOSTARJETA","Codigo","DatosCobTarjeta","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"DATOSTARJETA","PorcentajeRecargo","","",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"DATOSTARJETA","PuntoDeVentaComprobante","","",F,"N",4,0,"NUMERICONONEGATIVO",F,"",F,"",F,""
"DATOSTARJETA","NumeroComprobante","","",F,"N",8,0,"NUMERICONONEGATIVO",F,"",F,"",F,""
"DATOSTARJETA","PorcentajeDescuento","","",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"DATOSTARJETA","NumeroUnico","","",F,"N",8,0,"NUMERICO",F,"",F,"",F,""
"DATOSTARJETA","NumeroUnicoReferente","","",F,"N",8,0,"NUMERICO",F,"",F,"",F,""
"DATOSTARJETA","NumeroTarjetaReferente","","",F,"C",20,0,"NROTARJETA",F,"",F,"",F,""
"DATOSTARJETA","TicketICardCl","","",F,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"DATOSTARJETA","Validacion","","",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"DATOSTARJETA","ReferenciaExterna","","",F,"C",90,0,"CARACTER",F,"",F,"",F,""
"DATOSTARJETA","IdExternoClover","","",F,"C",15,0,"CARACTER",F,"",F,"",F,""
"DATOSTARJETA","AplicaRecargo","","",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"DATOSTARJETA","POS","","",T,"C",10,0,"CODIGO",F,"POS",F,"@SETEARPOSDEFAULT()",F,""
"DATOSTARJETA","Integrado","","",T,"C",30,0,"CARACTER",F,"",F,"",F,""
"DATOSTARJETA","Serial","","",F,"C",20,0,"CARACTER",F,"",F,"",F,""
"DATOSTARJETA","DispositivoMovil","","",T,"C",40,0,"COMBO",F,"",F,"",F,""
"DATOSTARJETA","IdPuestoQR","","",T,"C",100,0,"CARACTER",F,"",F,"",F,""
"DATOSTARJETA","TipoPagoLaPos","","",T,"N",1,0,"COMBOXML",F,"",F,"=1",F,""
"DATOSTARJETA","TerminalesSmartLaPos","","",T,"C",40,0,"CAMPOSSMARTLAPOS",F,"",F,"",F,""
"DATOSTARJETA","TipoPagoSmartLaPos","","",T,"N",1,0,"CAMPOSSMARTLAPOS",F,"",F,"=1",F,""
"DATOSTARJETA","mailGoCuotas","","",T,"C",80,0,"MAIL",F,"",F,"",F,""
"DATOSTARJETA","TipoPagoPosnet","","",T,"N",1,0,"COMBOXML",F,"",F,"=1",F,""
"DATOSTARJETA","IdPagoClover","","",T,"C",15,0,"CAMPOSID",F,"",F,"",F,""
"DATOSTARJETA","TipoCupon","","",T,"C",2,0,"COMBOTIPOCUPON",F,"",F,"",F,""
"DATOSTARJETA","IdOrdenClover","","",T,"C",15,0,"CAMPOSID",F,"",F,"",F,""
"DATOSTARJETA","IdSmartLaPos","","",T,"C",50,0,"CARACTER",F,"",F,"",F,""
"DATOSTARJETA","CuponReferente","","",T,"N",12,0,"ETIQUETADATOFECHA",F,"",F,"",F,""
"DATOSTARJETA","LoteReferente","","",T,"N",8,0,"ETIQUETADATOFECHA",F,"",F,"",F,""
"DATOSTARJETA","FechaReferente","","",T,"D",8,0,"ETIQUETADATOFECHA",F,"",F,"",F,""
"DATOSTARJETA","IdGoCuotas","","",F,"C",50,0,"CARACTER",F,"",F,"",F,""
"DATOSTARJETA","Moneda","","",T,"C",10,0,"CODIGO",F,"MONEDA",F,"",T,""
"DATOSTARJETA","AutorizacionTelefonica","","",T,"C",6,0,"AUTORIZACIONTELEFONICA",F,"",F,"",F,""
"DATOSTARJETA","AutorizacionTelefonicaOffLine","","",T,"N",1,0,"AUTORIZACIONTELEFONICA",F,"",F,"",F,""
"DATOSTARJETA","Tarjeta","","",T,"C",5,0,"CODIGO",F,"VALOR",F,"",T,""
"DATOSTARJETA","Monto","","",T,"N",15,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"DATOSTARJETA","Cuotas","","",T,"N",3,0,"PLANSEGUNCUOTAS",F,"",F,"",T,""
