entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"Descargadecheques","Anulado","DESCARGACHEQUE","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"DESCARGADECHEQUES","FechaAltaFW","DESCARGACHEQUE","FAltaFW",F,"D",8,0,"CARACTER",F,"",F,"=goservicios.librerias.obtenerFecha()",F,""
"DESCARGADECHEQUES","HoraAltaFW","DESCARGACHEQUE","HAltaFW",F,"C",8,0,"CARACTER",F,"",F,"=goservicios.librerias.obtenerHora()",F,""
"Descargadecheques","DestinoDescarga","DESCARGACHEQUE","destino",T,"C",10,0,"CODIGO",F,"DESTINODESCARGACHEQUES",F,"",T,""
"Descargadecheques","Concepto","DESCARGACHEQUE","concepto",T,"C",10,0,"CODIGO",F,"CONCEPTOCAJA",F,"",F,""
"Descargadecheques","Codigo","DESCARGACHEQUE","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",T,""
"Descargadecheques","Fecha","DESCARGACHEQUE","FFCH",T,"D",8,0,"FECHACALENDARIO",F,"",F,"=GOLIBRERIAS.OBTENERFECHA()",T,""
"Descargadecheques","Letra","DESCARGACHEQUE","Letra",T,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"="X"",T,""
"Descargadecheques","PuntoDeVenta","DESCARGACHEQUE","PtoVen",T,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"=goServicios.Parametros.Felino.Numeraciones.BocaDeExpendio",T,""
"Descargadecheques","Numero","DESCARGACHEQUE","NumComp",T,"N",8,0,"NUMEROCOMPROBANTE",F,"",F,"",T,""
"Descargadecheques","TipoComprobante","DESCARGACHEQUE","CompTipo",F,"N",2,0,"COMBOTIPOCOMPROBANTE",F,"",F,"=46",F,""
"Descargadecheques","ChequesDetalle","DETDESCCHEQUE","CODIGO",T,"G",38,0,"DETALLEITEMDESCARGACHEQUE",F,"",F,"",F,""
"Descargadecheques","Observ","DESCARGACHEQUE","CObs",T,"C",100,0,"OBSERVACION",F,"",T,"",F,""
