entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"DESCUENTO","Obs","Descuentos","TObs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"DESCUENTO","Codigo","Descuentos","codigo",T,"C",10,0,"CODIGO",T,"",F,"",T,""
"DESCUENTO","Descripcion","Descuentos","Des",T,"C",40,0,"DESCRIPCION",F,"",T,"",F,""
"DESCUENTO","ModoFuncionamiento","Descuentos","func",T,"N",1,0,"COMBO",F,"",F,"1",T,""
"DESCUENTO","Interaccion","Descuentos","intera",T,"N",1,0,"COMBOXML",F,"",F,"=1",F,""
"DESCUENTO","Orden","Descuentos","orden",T,"N",4,0,"NUMERICO",F,"",F,"",F,""
"DESCUENTO","EspacioBlanco","","",T,"C",30,0,"DESCRIPCION",F,"",F,"",F,""
"DESCUENTO","DescuentoDetalle","DescuentoDet","CODIGO",T,"C",10,0,"DETALLEITEMDESCUENTO",F,"",F,"",F,""
"DESCUENTO","Monto","Descuentos","monto",T,"N",15,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"DESCUENTO","Porcentaje","Descuentos","Porcdes",T,"N",7,2,"NUMERICOCONSIGNO",F,"",F,"",F,""
"DESCUENTO","MontoMax","Descuentos","montomax",T,"N",15,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"DESCUENTO","PorcentajeMax","Descuentos","Porcmax",T,"N",7,2,"NUMERICOCONSIGNO",F,"",F,"",F,""
"DESCUENTO","MontoDesde","Descuentos","mondes",T,"N",15,2,"EtiquetaNumericoDesdeHasta",F,"",F,"0",F,""
"DESCUENTO","MontoHasta","Descuentos","monhas",T,"N",15,2,"EtiquetaNumericoDesdeHasta",F,"",F,"999999999999.99",F,""
"DESCUENTO","CantidadDesde","Descuentos","cantdes",T,"N",10,0,"EtiquetaNumericoDesdeHasta",F,"",F,"0",F,""
"DESCUENTO","CantidadHasta","Descuentos","canthas",T,"N",10,0,"EtiquetaNumericoDesdeHasta",F,"",F,"9999999999",F,""
"DESCUENTO","FechaDesde","Descuentos","fecdes",T,"D",8,0,"EtiquetaFechaDesdeHastaBusc",F,"",F,"",F,""
"DESCUENTO","FechaHasta","Descuentos","fechas",T,"D",8,0,"EtiquetaFechaDesdeHastaBusc",F,"",F,"",F,""
"DESCUENTO","HoraDesde","Descuentos","hordes",T,"C",5,0,"EtiquetaHoraDesdeHasta",F,"",F,"00:00",F,""
"DESCUENTO","HoraHasta","Descuentos","horhas",T,"C",5,0,"EtiquetaHoraDesdeHasta",F,"",F,"23:59",F,""
"DESCUENTO","DiaLu","Descuentos","DiaLu",T,"L",1,0,"DIASDESEMANA",F,"",F,"= .T.",F,""
"DESCUENTO","DiaMa","Descuentos","DiaMa",T,"L",1,0,"DIASDESEMANA",F,"",F,"= .T.",F,""
"DESCUENTO","DiaMi","Descuentos","DiaMi",T,"L",1,0,"DIASDESEMANA",F,"",F,"= .T.",F,""
"DESCUENTO","DiaJu","Descuentos","DiaJu",T,"L",1,0,"DIASDESEMANA",F,"",F,"= .T.",F,""
"DESCUENTO","DiaVi","Descuentos","DiaVi",T,"L",1,0,"DIASDESEMANA",F,"",F,"= .T.",F,""
"DESCUENTO","DiaSa","Descuentos","DiaSa",T,"L",1,0,"DIASDESEMANA",F,"",F,"= .T.",F,""
"DESCUENTO","DiaDo","Descuentos","DiaDo",T,"L",1,0,"DIASDESEMANA",F,"",F,"= .T.",F,""
"DESCUENTO","PerfilDesde","Descuentos","perfdesde",T,"C",30,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"DESCUENTO","PerfilHasta","Descuentos","perfhasta",T,"C",30,0,"EtiquetaCaracterDesdeHasta",F,"",F,"=Replicate( "Z",30)",F,""
"DESCUENTO","ListaDesde","Descuentos","ListDesde",T,"C",6,0,"EtiquetaCaracterDesdeHastaBusc",F,"LISTADEPRECIOS",F,"",F,""
"DESCUENTO","ListaHasta","Descuentos","ListHasta",T,"C",6,0,"EtiquetaCaracterDesdeHastaBusc",F,"LISTADEPRECIOS",F,"=Replicate( "Z",6)",F,""
"DESCUENTO","VendDesde","Descuentos","VendDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"VENDEDOR",F,"",F,""
"DESCUENTO","VendHasta","Descuentos","VendHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"VENDEDOR",F,"=Replicate( "Z",10)",F,""
"DESCUENTO","Vendedor_ClasificacionVDesde","Descuentos","ClasvDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"CLASIFICACIONVENDEDOR",F,"",F,""
