entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"DISENOIMPO","Codigo","DisImpo","cCod",T,"C",40,0,"CODIGO",T,"",F,"",F,""
"DISENOIMPO","Descripcion","DisImpo","cDes",T,"C",100,0,"DESCRIPCION",F,"",F,"",T,""
"DISENOIMPO","Obs","DisImpo","cObs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"DISENOIMPO","clasehook","DisImpo","clasehook",F,"C",100,0,"DESCRIPCION",F,"",F,"",F,""
"DISENOIMPO","ArchivoEntrada","DisImpo","cArchEnt",T,"C",254,0,"ARCHIVO",F,"",F,"",F,""
"DISENOIMPO","TipoArchivo","DisImpo","cTipArch",T,"C",3,0,"COMBOTABLA",F,"TIPOARCHIVOIMPORTACION",F,"",T,""
"DISENOIMPO","Entidad","DisImpo","cEntidad",T,"C",40,0,"COMBOENTIDADESIMPO",F,"",T,"",T,""
"DISENOIMPO","Modo","DisImpo","cModo",T,"C",16,0,"COMBOMODOIMPO",F,"",F,"",T,""
"DISENOIMPO","CantidadDeLineasDeCorte","DisImpo","CanLinCort",T,"N",3,0,"NUMERICONONEGATIVO",F,"",F,"",F,""
"DISENOIMPO","Comando","DisImpo","cComando",T,"C",254,0,"ARCHIVOPORPARAMETRO",F,"",F,"",F,""
"DISENOIMPO","ParametrosComando","DisImpo","ParComa",T,"C",254,0,"EXPRESIONSIMPLE",F,"",F,"",F,""
"DISENOIMPO","TipoRegistro","DisImpo","cTipReg",T,"C",3,0,"COMBOTABLA",F,"TIPOREGISTROEXPORTACION",F,"="LFI"",T,""
"DISENOIMPO","Delimitadores","DisImpo","cDelimi",T,"C",40,0,"CARACTER",F,"",F,"",F,""
"DISENOIMPO","DeteccionDetalle","DisImpo","DetecDet",T,"C",25,0,"COMBOIMPOMETODODETALLE",F,"",F,"",F,""
"DISENOIMPO","IgnorarInicio","DisImpo","IgnorIni",T,"N",2,0,"NUMERICO",F,"",F,"",F,""
"DISENOIMPO","IgnorarFinal","DisImpo","IgnorFin",T,"N",2,0,"NUMERICO",F,"",F,"",F,""
"DISENOIMPO","IgnorarLineasEnBlanco","DisImpo","IgnorBlanc",T,"L",1,0,"SINOBOOL",F,"",F,"= .T.",F,""
"DISENOIMPO","IgnorarLineasQueEmpiezanCon","DisImpo","cLinIgnor",T,"C",20,0,"CARACTER",F,"",F,"",F,""
"DISENOIMPO","BaseDeDatos","DisImpo","cBdatos",T,"C",8,0,"COMBOSUC",F,"",F,"",F,""
"DISENOIMPO","AccionConArchivoEntradaSinAlertas","DisImpo","AccSinAler",T,"C",20,0,"COMBOACCIONSINALERTAS",F,"",F,"= "NADA"",F,""
"DISENOIMPO","RutaProcesados","DisImpo","cRutaProc",T,"C",254,0,"DIRECTORIO",F,"",F,"",F,""
"DISENOIMPO","AccionConArchivoEntradaConAlertas","DisImpo","AccConAler",T,"C",20,0,"COMBOACCIONCONALERTAS",F,"",F,"= "NADA"",F,""
"DISENOIMPO","RutaAlertas","DisImpo","cRutaAlert",T,"C",254,0,"DIRECTORIO",F,"",F,"",F,""
"DISENOIMPO","AccionConArchivoErrores","DisImpo","AccConErr",T,"C",20,0,"COMBOACCIONCONARCHIVOERRORES",F,"",F,"= "NADA"",F,""
"DISENOIMPO","RutaErrores","DisImpo","cRutaErr",T,"C",254,0,"DIRECTORIO",F,"",F,"",F,""
"DISENOIMPO","SoloLineasQueEmpiezanCon","DisImpo","cSoloLin",T,"C",20,0,"CARACTER",F,"",F,"",F,""
"DISENOIMPO","Areas","DisImpoArea","iCod",T,"C",40,0,"DETALLEITEMAREASIMPO",F,"",F,"",F,""
"DISENOIMPO","Atributos","DisImpoAtri","iCod",T,"C",40,0,"DETALLEITEMATRIBUTOSIMPO",F,"",F,"",F,""
