entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"DISENOIMPRESION","Codigo","DisImp","cCod",T,"C",40,0,"CODIGO",T,"",F,"",F,""
"DISENOIMPRESION","Descripcion","DisImp","cDes",T,"C",100,0,"DESCRIPCION",F,"",T,"",T,""
"DISENOIMPRESION","Entidad","DisImp","cEntidad",F,"C",40,0,"COMBOENTIDADES",F,"",F,"",F,""
"DISENOIMPRESION","Observacion","DisImp","cObs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"DISENOIMPRESION","Estilo","DisImp","cEstilo",T,"C",10,0,"CODIGO",F,"ESTILOIMPRESION",F,"",F,""
"DISENOIMPRESION","Condicion","DisImp","cCondici",T,"C",254,0,"CARACTER",F,"",F,"",F,""
"DISENOIMPRESION","DefaultImpresion","DisImp","lDefault",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"DISENOIMPRESION","SolicitarConfirmacion","DisImp","lConfirma",F,"L",1,0,"OPCIONESCONFIRMACION",F,"",F,"",F,""
"DISENOIMPRESION","HabilitaSalidaAImpresora","DisImp","lHabImpre",T,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"DISENOIMPRESION","ImpresionAutomatica","DisImp","impauto",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"DISENOIMPRESION","Series","DisImp","cSeries",T,"C",100,0,"CARACTER",F,"",F,"",F,""
"DISENOIMPRESION","Sugiere","DisImp","nSugiere",T,"N",1,0,"COMBOXML",F,"",F,"",F,""
"DISENOIMPRESION","OpcionDeSalida","DisImp","nOptSal",T,"N",1,0,"COMBOXML",F,"",F,"",F,""
"DISENOIMPRESION","Puerto","DisImp","cPuerto",T,"C",10,0,"COMBOPUERTOSCONDEFAULT",F,"",F,"",F,""
"DISENOIMPRESION","CantidadCopias","DisImp","nCantCop",T,"N",3,0,"NUMERICO",F,"",F,"1",F,""
"DISENOIMPRESION","AplicaLimite","DisImp","nLimite",T,"N",1,0,"SINONUM",F,"",F,"0",F,""
"DISENOIMPRESION","Advierte","DisImp","nAdvierte",T,"N",1,0,"SINONUM",F,"",F,"0",F,""
"DISENOIMPRESION","HabilitaSalidaAPdf","DisImp","lHabPdf",T,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"DISENOIMPRESION","PdfAutomatico","DisImp","lPdfAuto",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"DISENOIMPRESION","ConfirmaPdf","DisImp","nConfPdf",T,"N",1,0,"COMBOXML",F,"",F,"",F,""
"DISENOIMPRESION","RutaPdf","DisImp","cRutaPdf",T,"C",254,0,"DIRECTORIO",F,"",F,"=".\PDF"",F,""
"DISENOIMPRESION","Entidades","DisEnt","iCod",T,"C",40,0,"DETALLEITEMENTIDADES",F,"",F,"",F,""
"DISENOIMPRESION","Columnas","DisImp","nCantCol",T,"N",2,0,"NUMERICO",F,"",F,"1",F,""
"DISENOIMPRESION","Segundos","DisImp","nSegundos",T,"N",5,2,"NUMERICO",F,"",F,"1",F,""
"DISENOIMPRESION","MargenSup","DisImp","nMarSup",T,"N",7,2,"TWIPSAMM",F,"",F,"",F,""
"DISENOIMPRESION","MargenIzq","DisImp","nMarIzq",T,"N",7,2,"TWIPSAMM",F,"",F,"",F,""
"DISENOIMPRESION","MargenInf","DisImp","nMarInf",T,"N",7,2,"TWIPSAMM",F,"",F,"",F,""
"DISENOIMPRESION","MargenDer","DisImp","nMarDer",T,"N",7,2,"TWIPSAMM",F,"",F,"",F,""
"DISENOIMPRESION","Areas","DisAreas","iCod",T,"C",40,0,"DETALLEITEMAREASIMPRESION",F,"",F,"",F,""
"DISENOIMPRESION","Atributos","DisAtributos","iCod",T,"C",40,0,"DETALLEITEMATRIBUTOSIMPRESION",F,"",F,"",F,""
