entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"EMAIL","Codigo","mail","codigo",T,"C",20,0,"CODIGO",T,"",F,"",F,""
"EMAIL","Descripcion","mail","descr",T,"C",80,0,"DESCRIPCION",F,"",T,"",F,""
"EMAIL","Condicion","mail","condic",T,"C",254,0,"CARACTER",F,"",F,"",F,""
"EMAIL","Asunto","mail","asunto",T,"C",200,0,"CARACTER",F,"",F,"",F,""
"EMAIL","Texto","mail","Texto",T,"M",0,0,"OBSERVACION10R",F,"",F,"",F,""
"EMAIL","observacion","mail","obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"EMAIL","Servidor","mail","serv",T,"C",10,0,"CODIGO",F,"CUENTACORREO",F,"",T,""
"EMAIL","MailPara","mail","mPara",T,"C",200,0,"MAILATRIBUTO",F,"",F,"",F,""
"EMAIL","MailCopia","mail","mCC",T,"C",200,0,"MAILATRIBUTO",F,"",F,"",F,""
"EMAIL","MailCopiaOculta","mail","mCCo",T,"C",200,0,"MAILATRIBUTO",F,"",F,"",F,""
"EMAIL","ArchivosDetalle","mailarch","arccod",T,"C",20,0,"DETALLEITEMARCHIVOSMAIL",F,"",F,"",F,""
"EMAIL","Entidades","DisEntMAIL","iCod",T,"C",40,0,"DETALLEITEMENTIDADESMAIL",F,"",F,"",F,""
"EMAIL","EnviarAlGuardar","mail","envguar",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"EMAIL","ConfirmaEnvio","mail","envio",T,"N",2,0,"COMBOXML",F,"",F,"",F,""
