entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ENVIODECUENTACORRIENTEPORMAIL","Observacion","ENVCCMAIL","CLOBS",T,"M",0,0,"OBSERVACION",F,"",T,"",F,""
"ENVIODECUENTACORRIENTEPORMAIL","Codigo","ENVCCMAIL","CODIGO",T,"N",8,0,"CODIGONUMERICO",T,"",F,"",F,""
"ENVIODECUENTACORRIENTEPORMAIL","FechaDesde","ENVCCMAIL","FECHAD",T,"D",8,0,"EtiquetaFechaDesdeHastaBusc",F,"",F,"",F,""
"ENVIODECUENTACORRIENTEPORMAIL","FechaHasta","ENVCCMAIL","FECHAH",T,"D",8,0,"EtiquetaFechaDesdeHastaBusc",F,"",F,"=golibrerias.obtenerfecha()",F,""
"ENVIODECUENTACORRIENTEPORMAIL","ClienteDesde","ENVCCMAIL","FPersonD",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"CLIENTE",F,"",F,""
"ENVIODECUENTACORRIENTEPORMAIL","ClienteHasta","ENVCCMAIL","FPersonH",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"CLIENTE",F,"=Replicate( "Z",10)",F,""
"ENVIODECUENTACORRIENTEPORMAIL","ComprobantesPendientes","ENVCCMAIL","CompPend",T,"N",3,0,"COMBOXML",F,"",F,"=1",F,""
"ENVIODECUENTACORRIENTEPORMAIL","SaldosDeCuentaSinCancelar","ENVCCMAIL","SalSinCan",T,"N",3,0,"COMBOXML",F,"",F,"=1",F,""
"ENVIODECUENTACORRIENTEPORMAIL","Saldo","ENVCCMAIL","SaldoPN",T,"N",15,0,"COMBOXML",F,"",F,"=1",F,""
"ENVIODECUENTACORRIENTEPORMAIL","AgruparSaldos","ENVCCMAIL","AgruSaldos",T,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"ENVIODECUENTACORRIENTEPORMAIL","ChequesDeTerceros","ENVCCMAIL","CheqTerc",T,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"ENVIODECUENTACORRIENTEPORMAIL","BaseDeDatos","ENVCCMAIL","cBdatos",T,"C",15,0,"COMBOSUCURSALESCONVACIO",F,"",F,"",F,""
"ENVIODECUENTACORRIENTEPORMAIL","ComboPersonalizacion","ENVCCMAIL","listados",T,"N",15,0,"COMBO",F,"",F,"",F,""
