entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"FORMATOEXPORTACION","Codigo","formatos","codigo",T,"C",40,0,"CODIGO",T,"",F,"",F,""
"FORMATOEXPORTACION","Descripcion","formatos","descrip",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,""
"FORMATOEXPORTACION","completarizq","formatos","compizq",T,"C",40,0,"DESCRIPCION",F,"",F,"",F,""
"FORMATOEXPORTACION","completarder","formatos","compder",T,"C",40,0,"DESCRIPCION",F,"",F,"",F,""
"FORMATOEXPORTACION","Alineacion","formatos","alineacion",T,"C",40,0,"COMBOALINEACION",F,"",F,"= "DEF"",T,""
"FORMATOEXPORTACION","Capitalizacion","formatos","capitaliz",T,"C",40,0,"COMBOCAPITALIZACION",F,"",F,"= "DEF"",T,""
"FORMATOEXPORTACION","lltrim","formatos","lltrim",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"FORMATOEXPORTACION","lrtrim","formatos","lrtrim",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"FORMATOEXPORTACION","agregarcomillas","formatos","comillas",F,"C",10,0,"DESCRIPCION",F,"",F,"",F,""
"FORMATOEXPORTACION","comienzacon","formatos","comienza",T,"C",50,0,"DESCRIPCION",F,"",F,"",F,""
"FORMATOEXPORTACION","TruncarDecimales","formatos","Truncar",T,"L",1,0,"SINOBOOL",F,"",F,"= .T.",F,""
"FORMATOEXPORTACION","Decimales","formatos","CantDeci",T,"N",2,0,"NUMERICO",F,"",F,"",F,""
"FORMATOEXPORTACION","separadordecimal","formatos","sepdec",T,"C",1,0,"DESCRIPCION",F,"",F,"",F,""
"FORMATOEXPORTACION","separadormiles","formatos","secmiles",T,"C",1,0,"DESCRIPCION",F,"",F,"",F,""
"FORMATOEXPORTACION","simboloinicial","formatos","inicial",T,"C",40,0,"DESCRIPCION",F,"",F,"",F,""
"FORMATOEXPORTACION","formatofecha","formatos","formfecha",T,"C",20,0,"DESCRIPCION",F,"",F,"",F,""
"FORMATOEXPORTACION","otroformato","formatos","otroform",T,"C",100,0,"DESCRIPCION",F,"",F,"",F,""
"FORMATOEXPORTACION","Obs","formatos","cObs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
