entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"GESTIONDEPRODUCCION","Modelo","GESTIONPROD","Modelo",F,"C",15,0,"CODIGO",F,"MODELODEPRODUCCION",F,"",F,""
"GESTIONDEPRODUCCION","Procesos","GESTORDPRO","CodGestPro",F,"G",38,0,"DETALLEITEMGESTIONPROCESO",F,"",F,"",F,""
"GESTIONDEPRODUCCION","Codigo","GESTIONPROD","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"GESTIONDEPRODUCCION","OrdenDeProduccion","GESTIONPROD","OrdenDePro",T,"G",38,0,"CODIGO",F,"ORDENDEPRODUCCION",F,"",T,""
"GESTIONDEPRODUCCION","NumeroDeOrden","","",F,"N",12,0,"NUMERICONONEGATIVO",F,"",F,"",F,"OrdenDeProduccion.Numero"
"GESTIONDEPRODUCCION","Proceso","GESTIONPROD","Proceso",T,"C",15,0,"CODIGO",F,"PROCESOPRODUCCION",F,"",T,""
"GESTIONDEPRODUCCION","Taller","GESTIONPROD","Taller",T,"C",15,0,"CODIGO",F,"TALLER",F,"",F,""
"GESTIONDEPRODUCCION","InventarioOrigen","GESTIONPROD","INVENTORIG",T,"C",15,0,"CODIGO",F,"INVENTARIO",F,"",T,""
"GESTIONDEPRODUCCION","InventarioDestino","GESTIONPROD","INVENTDEST",T,"C",15,0,"CODIGO",F,"INVENTARIO",F,"",T,""
"GESTIONDEPRODUCCION","Numero","GESTIONPROD","Numero",T,"N",12,0,"CLAVECANDIDATA",F,"",F,"",T,""
"GESTIONDEPRODUCCION","Fecha","GESTIONPROD","FFCH",T,"D",8,0,"FECHACOMPROBANTE",F,"",T,"=goServicios.librerias.ObtenerFecha()",F,""
"GESTIONDEPRODUCCION","Obs","GESTIONPROD","Obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"GESTIONDEPRODUCCION","GestionCurva","GESPCURV","GesProdCur",T,"G",38,0,"DETALLEITEMGESTIONCURVA",F,"",F,"",F,""
"GESTIONDEPRODUCCION","GestionInsumos","GESPINS","GesProdIns",T,"G",38,0,"DETALLEITEMGESTIONINSUMO",F,"",F,"",F,""
"GESTIONDEPRODUCCION","GestionDescartes","GESPDESC","GesProdDes",T,"G",38,0,"DETALLEITEMGESTIONDESCARTE",F,"",F,"",F,""
"GESTIONDEPRODUCCION","GestionInsumosDescartes","GESPIND","GesProdInD",T,"G",38,0,"DETALLEITEMGESTIONINSDESC",F,"",F,"",F,""
