entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"IMPDIRART","Numero","IMPDIRART","NUMERO",T,"N",8,0,"CODIGONUMERICO",T,"",F,"",T,""
"IMPDIRART","Descripcion","IMPDIRART","Descripcio",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,""
"IMPDIRART","PlanDeCuentas","IMPDIRART","PCUENTA",T,"C",30,0,"CODIGO",F,"PLANDECUENTAS",F,"",T,""
"IMPDIRART","Importancia","IMPDIRART","Importanci",T,"N",5,0,"NUMERICONONEGATIVO",F,"",F,"",T,""
"IMPDIRART","f_Articulo_Desde","IMPDIRART","ArtDesde",T,"C",15,0,"EtiquetaCaracterDesdeHastaBusc",F,"ARTICULO",F,"",F,""
"IMPDIRART","f_Articulo_Hasta","IMPDIRART","ArtHasta",T,"C",15,0,"EtiquetaCaracterDesdeHastaBusc",F,"ARTICULO",F,"ZZZZZZZZZZZZZZZ",F,""
"IMPDIRART","Comportamiento","IMPDIRART","Comp",T,"N",1,0,"COMBOXML",F,"",F,"",F,""
"IMPDIRART","f_Proveedor_Desde","IMPDIRART","ProDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"PROVEEDOR",F,"",F,""
"IMPDIRART","f_Proveedor_Hasta","IMPDIRART","ProHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"PROVEEDOR",F,"ZZZZZZZZZZ",F,""
"IMPDIRART","f_Temporada_Desde","IMPDIRART","TemDesde",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"TEMPORADA",F,"",F,""
"IMPDIRART","f_Temporada_Hasta","IMPDIRART","TemHasta",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"TEMPORADA",F,"ZZZZZ",F,""
"IMPDIRART","f_Anio_Desde","IMPDIRART","AniDesde",T,"N",4,0,"EtiquetaNumericoDesdeHasta",F,"",F,"0",F,""
"IMPDIRART","f_Anio_Hasta","IMPDIRART","AniHasta",T,"N",4,0,"EtiquetaNumericoDesdeHasta",F,"",F,"2099",F,""
"IMPDIRART","f_Familia_Desde","IMPDIRART","FamDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"FAMILIA",F,"",F,""
"IMPDIRART","f_Familia_Hasta","IMPDIRART","FamHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"FAMILIA",F,"ZZZZZZZZZZ",F,""
"IMPDIRART","f_Material_Desde","IMPDIRART","MatDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"MATERIAL",F,"",F,""
"IMPDIRART","f_Material_Hasta","IMPDIRART","MatHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"MATERIAL",F,"ZZZZZZZZZZ",F,""
"IMPDIRART","f_Linea_Desde","IMPDIRART","LinDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"LINEA",F,"",F,""
"IMPDIRART","f_Linea_Hasta","IMPDIRART","LinHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"LINEA",F,"ZZZZZZZZZZ",F,""
"IMPDIRART","f_Grupo_Desde","IMPDIRART","GruDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"GRUPO",F,"",F,""
"IMPDIRART","f_Grupo_Hasta","IMPDIRART","GruHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"GRUPO",F,"ZZZZZZZZZZ",F,""
