entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"IMPDIRCLI","Numero","IMPDIRCLI","NUMERO",T,"N",8,0,"CODIGONUMERICO",T,"",F,"",T,""
"IMPDIRCLI","Descripcion","IMPDIRCLI","Descripcio",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,""
"IMPDIRCLI","PlanDeCuentas","IMPDIRCLI","PCUENTA",T,"C",30,0,"CODIGO",F,"PLANDECUENTAS",F,"",T,""
"IMPDIRCLI","Importancia","IMPDIRCLI","Importanci",T,"N",5,0,"NUMERICONONEGATIVO",F,"",F,"",T,""
"IMPDIRCLI","f_Cliente_Desde","IMPDIRCLI","CliDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"CLIENTE",F,"",F,""
"IMPDIRCLI","f_Cliente_Hasta","IMPDIRCLI","CliHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"CLIENTE",F,"ZZZZZZZZZZ",F,""
"IMPDIRCLI","f_idglobal_Desde","IMPDIRCLI","GloDesde",T,"C",38,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"IMPDIRCLI","f_idglobal_Hasta","IMPDIRCLI","GloHasta",T,"C",38,0,"EtiquetaCaracterDesdeHasta",F,"",F,"ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ",F,""
"IMPDIRCLI","SituacionFiscal","IMPDIRCLI","SitFis",T,"N",2,0,"COMBOSITUACIONFISCALCONVACIO",F,"",F,"0",F,""
"IMPDIRCLI","f_Vendedor_Desde","IMPDIRCLI","VenDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"VENDEDOR",F,"",F,""
"IMPDIRCLI","f_Vendedor_Hasta","IMPDIRCLI","VenHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"VENDEDOR",F,"ZZZZZZZZZZ",F,""
"IMPDIRCLI","f_Lista_Desde","IMPDIRCLI","LisDesde",T,"C",6,0,"EtiquetaCaracterDesdeHastaBusc",F,"LISTADEPRECIOS",F,"",F,""
"IMPDIRCLI","f_Lista_Hasta","IMPDIRCLI","LisHasta",T,"C",6,0,"EtiquetaCaracterDesdeHastaBusc",F,"LISTADEPRECIOS",F,"ZZZZZZ",F,""
"IMPDIRCLI","f_Clasificacion_Desde","IMPDIRCLI","ClaDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"CLASIFICACIONCLIENTE",F,"",F,""
"IMPDIRCLI","f_Clasificacion_Hasta","IMPDIRCLI","ClaHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"CLASIFICACIONCLIENTE",F,"ZZZZZZZZZZ",F,""
"IMPDIRCLI","f_Tipo_Desde","IMPDIRCLI","TipDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"TIPOCLIENTE",F,"",F,""
"IMPDIRCLI","f_Tipo_Hasta","IMPDIRCLI","TipHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"TIPOCLIENTE",F,"ZZZZZZZZZZ",F,""
"IMPDIRCLI","f_Categoria_Desde","IMPDIRCLI","CatDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"CATEGORIACLIENTE",F,"",F,""
"IMPDIRCLI","f_Categoria_Hasta","IMPDIRCLI","CatHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"CATEGORIACLIENTE",F,"ZZZZZZZZZZ",F,""
"IMPDIRCLI","f_Provincia_Desde","IMPDIRCLI","ProDesde",T,"C",2,0,"EtiquetaCaracterDesdeHastaBusc",F,"PROVINCIA",F,"",F,""
"IMPDIRCLI","f_Provincia_Hasta","IMPDIRCLI","ProHasta",T,"C",2,0,"EtiquetaCaracterDesdeHastaBusc",F,"PROVINCIA",F,"ZZ",F,""
"IMPDIRCLI","f_Pais_Desde","IMPDIRCLI","PaiDesde",T,"C",3,0,"EtiquetaCaracterDesdeHastaBusc",F,"PAISES",F,"",F,""
"IMPDIRCLI","f_Pais_Hasta","IMPDIRCLI","PaiHasta",T,"C",3,0,"EtiquetaCaracterDesdeHastaBusc",F,"PAISES",F,"ZZZ",F,""
"IMPDIRCLI","f_Sucursal_Desde","IMPDIRCLI","SucDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"SUCURSAL",F,"",F,""
"IMPDIRCLI","f_Sucursal_Hasta","IMPDIRCLI","SucHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"SUCURSAL",F,"ZZZZZZZZZZ",F,""
"IMPDIRCLI","f_TipoSucursal_Desde","IMPDIRCLI","TSucDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"TIPOSUCURSAL",F,"",F,""
"IMPDIRCLI","f_TipoSucursal_Hasta","IMPDIRCLI","TSucHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"TIPOSUCURSAL",F,"ZZZZZZZZZZ",F,""
"IMPDIRCLI","BaseDeDatos","IMPDIRCLI","Base",T,"C",21,0,"COMBOSUCYAGRUCONVACIO",F,"",F,"",F,""
"IMPDIRCLI","Imputacion","IMPDIRCLI","ImpVal",T,"N",8,0,"CODIGONUMERICO",F,"IMPDIRVAL",F,"",F,""
"IMPDIRCLI","Observacion","IMPDIRCLI","OBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
