entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"IMPDIRCON","Numero","IMPDIRCON","NUMERO",T,"N",8,0,"CODIGONUMERICO",T,"",F,"",T,""
"IMPDIRCON","Descripcion","IMPDIRCON","Descripcio",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,""
"IMPDIRCON","PlanDeCuentas","IMPDIRCON","PCUENTA",T,"C",30,0,"CODIGO",F,"PLANDECUENTAS",F,"",T,""
"IMPDIRCON","Importancia","IMPDIRCON","Importanci",T,"N",5,0,"NUMERICONONEGATIVO",F,"",F,"",T,""
"IMPDIRCON","f_Concepto_Desde","IMPDIRCON","ConDesde",T,"C",15,0,"EtiquetaCaracterDesdeHastaBusc",F,"CONCEPTOPAGO",F,"",F,""
"IMPDIRCON","f_Concepto_Hasta","IMPDIRCON","ConHasta",T,"C",15,0,"EtiquetaCaracterDesdeHastaBusc",F,"CONCEPTOPAGO",F,"ZZZZZZZZZZZZZZZ",F,""
"IMPDIRCON","f_Clasificacion_Desde","IMPDIRCON","ClaDesde",T,"C",15,0,"EtiquetaCaracterDesdeHastaBusc",F,"CLASIFICACIONCONCEPTOPAGO",F,"",F,""
"IMPDIRCON","f_Clasificacion_Hasta","IMPDIRCON","ClaHasta",T,"C",15,0,"EtiquetaCaracterDesdeHastaBusc",F,"CLASIFICACIONCONCEPTOPAGO",F,"ZZZZZZZZZZZZZZZ",F,""
"IMPDIRCON","f_Sucursal_Desde","IMPDIRCON","SucDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"SUCURSAL",F,"",F,""
"IMPDIRCON","f_Sucursal_Hasta","IMPDIRCON","SucHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"SUCURSAL",F,"ZZZZZZZZZZ",F,""
"IMPDIRCON","f_TipoSucursal_Desde","IMPDIRCON","TSucDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"TIPOSUCURSAL",F,"",F,""
"IMPDIRCON","f_TipoSucursal_Hasta","IMPDIRCON","TSucHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"TIPOSUCURSAL",F,"ZZZZZZZZZZ",F,""
"IMPDIRCON","BaseDeDatos","IMPDIRCON","Base",T,"C",21,0,"COMBOSUCYAGRUCONVACIO",F,"",F,"",F,""
"IMPDIRCON","Observacion","IMPDIRCON","OBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
