entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"IMPDIRCUE","Numero","IMPDIRCUE","NUMERO",T,"N",8,0,"CODIGONUMERICO",T,"",F,"",T,""
"IMPDIRCUE","Descripcion","IMPDIRCUE","Descripcio",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,""
"IMPDIRCUE","PlanDeCuentas","IMPDIRCUE","PCUENTA",T,"C",30,0,"CODIGO",F,"PLANDECUENTAS",F,"",T,""
"IMPDIRCUE","Importancia","IMPDIRCUE","Importanci",T,"N",5,0,"NUMERICONONEGATIVO",F,"",F,"",T,""
"IMPDIRCUE","f_CuentaBancaria_Desde","IMPDIRCUE","CueDesde",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"CUENTABANCARIA",F,"",F,""
"IMPDIRCUE","f_CuentaBancaria_Hasta","IMPDIRCUE","CueHasta",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"CUENTABANCARIA",F,"ZZZZZ",F,""
"IMPDIRCUE","f_Numero_Desde","IMPDIRCUE","NroDesde",T,"C",15,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"IMPDIRCUE","f_Numero_Hasta","IMPDIRCUE","NroHasta",T,"C",15,0,"EtiquetaCaracterDesdeHasta",F,"",F,"ZZZZZZZZZZZZZZZ",F,""
"IMPDIRCUE","f_Sucursal_Desde","IMPDIRCUE","SucDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"SUCURSAL",F,"",F,""
"IMPDIRCUE","f_Sucursal_Hasta","IMPDIRCUE","SucHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"SUCURSAL",F,"ZZZZZZZZZZ",F,""
"IMPDIRCUE","f_TipoSucursal_Desde","IMPDIRCUE","TSucDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"TIPOSUCURSAL",F,"",F,""
"IMPDIRCUE","f_TipoSucursal_Hasta","IMPDIRCUE","TSucHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"TIPOSUCURSAL",F,"ZZZZZZZZZZ",F,""
"IMPDIRCUE","BaseDeDatos","IMPDIRCUE","Base",T,"C",21,0,"COMBOSUCYAGRUCONVACIO",F,"",F,"",F,""
"IMPDIRCUE","Observacion","IMPDIRCUE","OBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
