entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"IMPDIRPRO","Numero","IMPDIRPRO","NUMERO",T,"N",8,0,"CODIGONUMERICO",T,"",F,"",T,""
"IMPDIRPRO","Descripcion","IMPDIRPRO","Descripcio",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,""
"IMPDIRPRO","PlanDeCuentas","IMPDIRPRO","PCUENTA",T,"C",30,0,"CODIGO",F,"PLANDECUENTAS",F,"",T,""
"IMPDIRPRO","Importancia","IMPDIRPRO","Importanci",T,"N",5,0,"NUMERICONONEGATIVO",F,"",F,"",T,""
"IMPDIRPRO","f_Proveedor_Desde","IMPDIRPRO","ProDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"PROVEEDOR",F,"",F,""
"IMPDIRPRO","f_Proveedor_Hasta","IMPDIRPRO","ProHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"PROVEEDOR",F,"ZZZZZZZZZZ",F,""
"IMPDIRPRO","SituacionFiscal","IMPDIRPRO","SitFis",T,"N",2,0,"COMBOSITUACIONFISCALCONVACIO",F,"",F,"0",F,""
"IMPDIRPRO","f_Vendedor_Desde","IMPDIRPRO","VenDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"VENDEDOR",F,"",F,""
"IMPDIRPRO","f_Vendedor_Hasta","IMPDIRPRO","VenHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"VENDEDOR",F,"ZZZZZZZZZZ",F,""
"IMPDIRPRO","f_Lista_Desde","IMPDIRPRO","LisDesde",T,"C",6,0,"EtiquetaCaracterDesdeHastaBusc",F,"LISTADEPRECIOS",F,"",F,""
"IMPDIRPRO","f_Lista_Hasta","IMPDIRPRO","LisHasta",T,"C",6,0,"EtiquetaCaracterDesdeHastaBusc",F,"LISTADEPRECIOS",F,"ZZZZZZ",F,""
"IMPDIRPRO","f_Clasificacion_Desde","IMPDIRPRO","ClaDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"CLASIFICACIONPROVEEDOR",F,"",F,""
"IMPDIRPRO","f_Clasificacion_Hasta","IMPDIRPRO","ClaHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"CLASIFICACIONPROVEEDOR",F,"ZZZZZZZZZZ",F,""
"IMPDIRPRO","f_Provincia_Desde","IMPDIRPRO","PrvDesde",T,"C",2,0,"EtiquetaCaracterDesdeHastaBusc",F,"PROVINCIA",F,"",F,""
"IMPDIRPRO","f_Provincia_Hasta","IMPDIRPRO","PrvHasta",T,"C",2,0,"EtiquetaCaracterDesdeHastaBusc",F,"PROVINCIA",F,"ZZ",F,""
"IMPDIRPRO","f_Pais_Desde","IMPDIRPRO","PaiDesde",T,"C",3,0,"EtiquetaCaracterDesdeHastaBusc",F,"PAISES",F,"",F,""
"IMPDIRPRO","f_Pais_Hasta","IMPDIRPRO","PaiHasta",T,"C",3,0,"EtiquetaCaracterDesdeHastaBusc",F,"PAISES",F,"ZZZ",F,""
"IMPDIRPRO","f_Sucursal_Desde","IMPDIRPRO","SucDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"SUCURSAL",F,"",F,""
"IMPDIRPRO","f_Sucursal_Hasta","IMPDIRPRO","SucHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"SUCURSAL",F,"ZZZZZZZZZZ",F,""
"IMPDIRPRO","f_TipoSucursal_Desde","IMPDIRPRO","TSucDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"TIPOSUCURSAL",F,"",F,""
"IMPDIRPRO","f_TipoSucursal_Hasta","IMPDIRPRO","TSucHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"TIPOSUCURSAL",F,"ZZZZZZZZZZ",F,""
"IMPDIRPRO","BaseDeDatos","IMPDIRPRO","Base",T,"C",21,0,"COMBOSUCYAGRUCONVACIO",F,"",F,"",F,""
"IMPDIRPRO","Imputacion","IMPDIRPRO","ImpVal",T,"N",8,0,"CODIGONUMERICO",F,"IMPDIRVAL",F,"",F,""
"IMPDIRPRO","Observacion","IMPDIRPRO","OBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
