entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"IMPDIRVAL","Numero","IMPDIRVAL","NUMERO",T,"N",8,0,"CODIGONUMERICO",T,"",F,"",T,""
"IMPDIRVAL","Descripcion","IMPDIRVAL","Descripcio",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,""
"IMPDIRVAL","PlanDeCuentas","IMPDIRVAL","PCUENTA",T,"C",30,0,"CODIGO",F,"PLANDECUENTAS",F,"",T,""
"IMPDIRVAL","Importancia","IMPDIRVAL","Importanci",T,"N",5,0,"NUMERICONONEGATIVO",F,"",F,"",T,""
"IMPDIRVAL","f_Valor_Desde","IMPDIRVAL","ValDesde",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"VALOR",F,"",F,""
"IMPDIRVAL","f_Valor_Hasta","IMPDIRVAL","ValHasta",T,"C",5,0,"EtiquetaCaracterDesdeHastaBusc",F,"VALOR",F,"ZZZZZ",F,""
"IMPDIRVAL","Tipo","IMPDIRVAL","TipoVal",T,"N",2,0,"COMBOF_TIPODEVALORES",F,"",F,"",F,""
"IMPDIRVAL","f_Moneda_Desde","IMPDIRVAL","MonDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"MONEDA",F,"",F,""
"IMPDIRVAL","f_Moneda_Hasta","IMPDIRVAL","MonHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"MONEDA",F,"ZZZZZZZZZZ",F,""
"IMPDIRVAL","f_OperadoraDeTarjeta_Desde","IMPDIRVAL","OpeDesde",T,"C",15,0,"EtiquetaCaracterDesdeHastaBusc",F,"OPERADORADETARJETA",F,"",F,""
"IMPDIRVAL","f_OperadoraDeTarjeta_Hasta","IMPDIRVAL","OpeHasta",T,"C",15,0,"EtiquetaCaracterDesdeHastaBusc",F,"OPERADORADETARJETA",F,"ZZZZZZZZZZZZZZZ",F,""
"IMPDIRVAL","TipoTarjeta","IMPDIRVAL","tipotarj",T,"C",1,0,"COMBOXML",F,"",F,"0",F,""
"IMPDIRVAL","f_Sucursal_Desde","IMPDIRVAL","SucDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"SUCURSAL",F,"",F,""
"IMPDIRVAL","f_Sucursal_Hasta","IMPDIRVAL","SucHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"SUCURSAL",F,"ZZZZZZZZZZ",F,""
"IMPDIRVAL","f_TipoSucursal_Desde","IMPDIRVAL","TSucDesde",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"TIPOSUCURSAL",F,"",F,""
"IMPDIRVAL","f_TipoSucursal_Hasta","IMPDIRVAL","TSucHasta",T,"C",10,0,"EtiquetaCaracterDesdeHastaBusc",F,"TIPOSUCURSAL",F,"ZZZZZZZZZZ",F,""
"IMPDIRVAL","BaseDeDatos","IMPDIRVAL","Base",T,"C",21,0,"COMBOSUCYAGRUCONVACIO",F,"",F,"",F,""
"IMPDIRVAL","TipoDeAsiento","IMPDIRVAL","TipoAsi",T,"N",1,0,"COMBOTIPODEASIENTO",F,"",F,"0",F,""
"IMPDIRVAL","Observacion","IMPDIRVAL","OBS",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
