entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"IMPRIMIRCOMPROBANTEPORLOTE","Codigo","COMPPL","CODIGO",T,"N",8,0,"CODIGONUMERICO",T,"",F,"",F,""
"IMPRIMIRCOMPROBANTEPORLOTE","FechaAltaFW","COMPPL","FAltaFW",T,"D",8,0,"FECHA",F,"",F,"=golibrerias.obtenerfecha()",F,""
"IMPRIMIRCOMPROBANTEPORLOTE","Entidad","COMPPL","Comprob",F,"C",40,0,"TIPOCOMPROBANTEVENTASFISCAL",F,"",F,"",F,""
"IMPRIMIRCOMPROBANTEPORLOTE","TipoComprobante","COMPPL","TipoComp",T,"N",2,0,"TIPOCOMPROBANTEVENTASFISCAL",F,"",T,"=01",T,""
"IMPRIMIRCOMPROBANTEPORLOTE","Letra","COMPPL","Letra",T,"C",1,0,"CARACTER",F,"",F,"="A"",T,""
"IMPRIMIRCOMPROBANTEPORLOTE","PuntoDeVenta","COMPPL","ptovta",T,"N",4,0,"NUMERICO",F,"",F,"=goServicios.Parametros.Felino.Numeraciones.BocaDeExpendio",T,""
"IMPRIMIRCOMPROBANTEPORLOTE","NumeroDesde","COMPPL","NumDesde",T,"N",9,0,"EtiquetaCaracterDesdeHasta",F,"",F,"",F,""
"IMPRIMIRCOMPROBANTEPORLOTE","NumeroHasta","COMPPL","NumHasta",T,"N",9,0,"EtiquetaCaracterDesdeHasta",F,"",F,"=this.ValorSugeridoNumerohastaEntidad()",F,""
"IMPRIMIRCOMPROBANTEPORLOTE","Serie","COMPPL","serie",T,"C",20,0,"CARACTER",F,"",F,"=_screen.zoo.app.cSerie",F,""
"IMPRIMIRCOMPROBANTEPORLOTE","Version","COMPPL","vrsn",T,"C",20,0,"CARACTER",F,"",F,"=_screen.zoo.app.ObtenerVersion()",F,""
"IMPRIMIRCOMPROBANTEPORLOTE","Db","COMPPL","db",T,"C",20,0,"CARACTER",F,"",F,"=_screen.zoo.app.cSucursalActiva",F,""
"IMPRIMIRCOMPROBANTEPORLOTE","Usuario","COMPPL","usuario",T,"C",100,0,"CARACTER",F,"",F,"=goServicios.Seguridad.cUsuarioLogueado",F,""
"IMPRIMIRCOMPROBANTEPORLOTE","Obs","COMPPL","Observacio",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
