entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"INSUMO","Codigo","INS","INSCOD",T,"C",25,0,"CODIGO",T,"",F,"",F,""
"INSUMO","Descripcion","INS","INSDES",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,""
"INSUMO","DescripcionAdicional","INS","INSDESADIC",T,"C",254,0,"DESCRIPCION",F,"",F,"",F,""
"INSUMO","Observacion","INS","IObs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
"INSUMO","Articulo","INS","CodArt",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",F,""
"INSUMO","RindeUnidad","INS","UnidadR",T,"C",3,0,"CODIGO",F,"UNIDADDEMEDIDA",F,"",F,""
"INSUMO","RindeCantidad","INS","CantidadR",T,"N",9,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"INSUMO","Proveedor","INS","ARTFAB",T,"C",10,0,"CODIGO",F,"PROVEEDOR",F,"",F,""
"INSUMO","ArticuloLiquidacionProduccion","INS","CodArtLiqP",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",F,""
"INSUMO","ArticuloLiquidacionDescarte","INS","CodArtLiqD",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",F,""
"INSUMO","UnidadDeMedida","INS","UniMed",F,"C",3,0,"CODIGO",F,"UNIDADDEMEDIDA",F,"",F,""
"INSUMO","Tipodeinsumo","INS","Tipo",F,"C",10,0,"CODIGO",F,"TIPODEARTICULO",F,"",F,""
"INSUMO","Familia","INS","Familia",F,"C",10,0,"CODIGO",F,"FAMILIA",F,"",F,""
"INSUMO","Material","INS","Material",F,"C",10,0,"CODIGO",F,"MATERIAL",F,"",F,""
"INSUMO","Linea","INS","Linea",F,"C",10,0,"CODIGO",F,"LINEA",F,"",F,""
"INSUMO","Grupo","INS","Grupo",F,"C",10,0,"CODIGO",F,"GRUPO",F,"",F,""
"INSUMO","CategoriaDeInsumo","INS","Categ",F,"C",10,0,"CODIGO",F,"CATEGORIADEARTICULO",F,"",F,""
"INSUMO","Clasificacion","INS","Clasif",F,"C",10,0,"CODIGO",F,"CLASIFICACIONARTICULO",F,"",F,""
"INSUMO","CondicionIva","INS","condiva",F,"N",1,0,"COMBOCONDICIONIVA",F,"",F,"",F,""
"INSUMO","PorcentajeIva","INS","poriva",F,"N",5,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
