entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"INTERACCIONDEORDEN","anulado","IntOrden","Anulado",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"INTERACCIONDEORDEN","Codigo","IntOrden","Codigo",T,"C",20,0,"CODIGO",T,"",F,"",T,""
"INTERACCIONDEORDEN","Vendedor","IntOrden","Vendedor",T,"C",10,0,"CODIGOCLIENTECOMPROBANTE",F,"VENDEDOR",F,"",T,""
"INTERACCIONDEORDEN","VendedorDescripcion","IntOrden","DescVend",T,"C",60,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",T,"Vendedor.Nombre"
"INTERACCIONDEORDEN","Fecha","IntOrden","Fecha",T,"D",8,0,"FECHACALENDARIO",F,"",T,"=golibrerias.obtenerfecha()",T,""
"INTERACCIONDEORDEN","Hora","IntOrden","Hora",T,"C",8,0,"HORA",F,"",F,"=goservicios.librerias.obtenerHora()",T,""
"INTERACCIONDEORDEN","BaseDeDatosAltaFW","IntOrden","BDAltaFW",T,"C",8,0,"CARACTER",F,"",F,"=_screen.Zoo.App.cSucursalActiva",F,""
"INTERACCIONDEORDEN","Orden","IntOrden","Orden",T,"C",20,0,"CODIGO",F,"ORDENDESERVICIO",F,"",T,""
"INTERACCIONDEORDEN","Cliente","IntOrden","Cliente",T,"C",10,0,"CODIGOCLIENTECOMPROBANTE",F,"CLIENTE",F,"",F,"Orden.Cliente"
"INTERACCIONDEORDEN","ClienteDescripcion","IntOrden","CliDesc",T,"C",185,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",F,"Cliente.Nombre"
"INTERACCIONDEORDEN","Articulo","IntOrden","Art",T,"C",15,0,"CODIGOCLIENTECOMPROBANTE",F,"ARTICULO",F,"",F,"Orden.Articulo"
"INTERACCIONDEORDEN","ArticuloDescripcion","IntOrden","DescArt",T,"C",100,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",F,"Articulo.Descripcion"
"INTERACCIONDEORDEN","Color","IntOrden","cColor",T,"C",6,0,"CODIGOCLIENTECOMPROBANTE",F,"COLOR",F,"",F,"Orden.Color"
"INTERACCIONDEORDEN","ColorDescripcion","IntOrden","DesCol",T,"C",50,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",F,"Color.Descripcion"
"INTERACCIONDEORDEN","Talle","IntOrden","Talle",T,"C",5,0,"CODIGOCLIENTECOMPROBANTE",F,"TALLE",F,"",F,"Orden.Talle"
"INTERACCIONDEORDEN","TalleDescripcion","IntOrden","DescTalle",T,"C",50,0,"CODIGOCLIENTECOMPROBANTE",F,"",F,"",F,"Talle.Descripcion"
"INTERACCIONDEORDEN","Estado","IntOrden","Est",T,"C",30,0,"CODIGO",F,"ESTADOSDEINTERACCION",F,"",T,""
"INTERACCIONDEORDEN","TipoDescuento","IntOrden","TipoDesc",T,"C",10,0,"COMBOXML",F,"",F,"",F,""
"INTERACCIONDEORDEN","Valor","IntOrden","Valor",T,"N",10,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"INTERACCIONDEORDEN","Obs","IntOrden","Obs",T,"M",0,0,"OBSERVACION",F,"",F,"",F,""
