entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMAJUSTOCKENTRANSITO","codigo","ajuEnTranDet","ajdCodigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMAJUSTOCKENTRANSITO","NoProcesarStock","ajuEnTranDet","ProcStock",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMAJUSTOCKENTRANSITO","CodigoDeBarras","","",F,"C",45,0,"CARACTER",F,"",F,"",F,""
"ITEMAJUSTOCKENTRANSITO","Equivalencia","ajuEnTranDet","Equiv",F,"C",20,0,"CODIGO",F,"Equivalencia",F,"",F,""
"ITEMAJUSTOCKENTRANSITO","Comportamiento","ajuEnTranDet","COMP",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMAJUSTOCKENTRANSITO","Articulo","ajuEnTranDet","ajdart",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",F,""
"ITEMAJUSTOCKENTRANSITO","ArticuloDetalle","ajuEnTranDet","ajdADesc",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"articulo.descripcion"
"ITEMAJUSTOCKENTRANSITO","Color","ajuEnTranDet","ajdColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMAJUSTOCKENTRANSITO","ColorDetalle","ajuEnTranDet","ajdCDesc",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Color.descripcion"
"ITEMAJUSTOCKENTRANSITO","Talle","ajuEnTranDet","ajdTalle",T,"C",5,0,"CODIGO",F,"Talle",F,"",F,""
"ITEMAJUSTOCKENTRANSITO","StockAct","ajuEnTranDet","ajdstock",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMAJUSTOCKENTRANSITO","StockProy","ajuEnTranDet","ajdstocksi",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMAJUSTOCKENTRANSITO","Cantidad","ajuEnTranDet","ajdCant",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
