entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMARTICFINALDEPROD","Codigo","DETARTFINALPROD","NUMR",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMARTICFINALDEPROD","NoProcesarStock","DETARTFINALPROD","ProcStock",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMARTICFINALDEPROD","CodigoDeBarras","","",F,"C",54,0,"CARACTER",F,"",F,"",F,""
"ITEMARTICFINALDEPROD","Equivalencia","DETARTFINALPROD","Equiv",F,"C",20,0,"DESCRIPCION",F,"Equivalencia",F,"",F,""
"ITEMARTICFINALDEPROD","Comportamiento","DETARTFINALPROD","COMP",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMARTICFINALDEPROD","CantidadLimite","","",F,"N",14,6,"NUMERICO",F,"",F,"",F,""
"ITEMARTICFINALDEPROD","Inventario","DETARTFINALPROD","INVENTORIG",T,"C",15,0,"CODIGO",F,"INVENTARIO",F,"",F,""
"ITEMARTICFINALDEPROD","InventarioDetalle","DETARTFINALPROD","INVENTDET",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"inventario.descripcion"
"ITEMARTICFINALDEPROD","Insumo","DETARTFINALPROD","Insumo",T,"C",25,0,"CODIGO",F,"INSUMO",F,"",T,""
"ITEMARTICFINALDEPROD","InsumoDetalle","DETARTFINALPROD","InsumoDet",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Insumo.Descripcion"
"ITEMARTICFINALDEPROD","Color","DETARTFINALPROD","cColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMARTICFINALDEPROD","ColorDetalle","DETARTFINALPROD","ColTXT",T,"C",50,0,"DESCRIPCION",F,"",F,"",F,"Color.Descripcion"
"ITEMARTICFINALDEPROD","Talle","DETARTFINALPROD","Talle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMARTICFINALDEPROD","TalleDetalle","DETARTFINALPROD","TallTXT",F,"C",50,0,"DESCRIPCION",F,"",F,"",F,"Talle.Descripcion"
"ITEMARTICFINALDEPROD","Partida","DETARTFINALPROD","PARTIDA",T,"C",25,0,"CARACTER",F,"",F,"",F,""
"ITEMARTICFINALDEPROD","Unidad","DETARTFINALPROD","FUnid",T,"C",3,0,"CODIGO",F,"UNIDADDEMEDIDA",F,"",F,"Insumo UnidadDeMedida"
"ITEMARTICFINALDEPROD","Cantidad","DETARTFINALPROD","CANTI",T,"N",14,6,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"",F,""
"ITEMARTICFINALDEPROD","Articulo","DETARTFINALPROD","MARTDF",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",F,""
"ITEMARTICFINALDEPROD","ArticuloDetalle","DETARTFINALPROD","DESCRIPDF",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
"ITEMARTICFINALDEPROD","ColorArt","DETARTFINALPROD","colart",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMARTICFINALDEPROD","ColorArtDetalle","DETARTFINALPROD","colartdet",T,"C",50,0,"DESCRIPCION",F,"",F,"",F,"ColorArt.Descripcion"
"ITEMARTICFINALDEPROD","TalleArt","DETARTFINALPROD","talleart",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMARTICFINALDEPROD","TalleArtDetalle","DETARTFINALPROD","talleardet",F,"C",50,0,"DESCRIPCION",F,"",F,"",F,"TalleArt.Descripcion"
"ITEMARTICFINALDEPROD","UnidadStockDF","DETARTFINALPROD","FUnidDF",T,"C",3,0,"CODIGO",F,"UNIDADDEMEDIDA",F,"",F,"Artículo UnidadDeMedida"
"ITEMARTICFINALDEPROD","Rinde","DETARTFINALPROD","RINDE",T,"N",9,2,"NUMERICODECIMALPARAMETRIZADO",F,"",F,"",F,""
"ITEMARTICFINALDEPROD","CantidadStockDF","DETARTFINALPROD","CANTIDF",T,"N",10,2,"NUMERICODECIMALPARAMETRIZADO",F,"",F,"",F,""
