entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMARTICULOSNCCOMPRA","Articulo","NcCompraDet","FART",T,"C",15,0,"CONSOPORTEPREPANTALLA",F,"ARTICULO",F,"",T,""
"ITEMARTICULOSNCCOMPRA","Codigo","NcCompraDet","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMARTICULOSNCCOMPRA","MontoPorcentajeDescuentoConImpuesto","NCCOMPRADET","FCFITot",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNCCOMPRA","Impuestos","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNCCOMPRA","Kit","NcCompraDet","FKIT",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNCCOMPRA","Material","NcCompraDet","FAMate",F,"C",10,0,"CARACTER",F,"MATERIAL",F,"",F,"Articulo.Material"
"ITEMARTICULOSNCCOMPRA","MontoCFI","NcCompraDet","FmtoCFI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNCCOMPRA","MontoDTO1","NcCompraDet","FmtoDTO1",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNCCOMPRA","MontoIVA","NCCOMPRADET","FmtoIVA",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNCCOMPRA","Neto","NCCOMPRADET","FNETO",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNCCOMPRA","NroItem","NcCompraDet","NroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNCCOMPRA","Oferta","NcCompraDet","FX2",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNCCOMPRA","PorcentajeCFI","NcCompraDet","FporCFI",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNCCOMPRA","PorcentajeDTO1","NcCompraDet","FporDTO1",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNCCOMPRA","PorcentajeIVA","NcCompraDet","fporIva",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNCCOMPRA","PrecioConImpuestos","NCCOMPRADET","prunconimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNCCOMPRA","PrecioDeLista","","",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
