entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMARTICULOSNDCOMPRA","Articulo","NdCompraDet","FART",T,"C",15,0,"CONSOPORTEPREPANTALLA",F,"ARTICULO",F,"",T,""
"ITEMARTICULOSNDCOMPRA","Codigo","NdCompraDet","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","MontoPorcentajeDescuentoConImpuesto","NDCOMPRADET","FCFITot",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","Impuestos","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","Kit","NdCompraDet","FKIT",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","Material","NdCompraDet","FAMate",F,"C",10,0,"CARACTER",F,"MATERIAL",F,"",F,"Articulo.Material"
"ITEMARTICULOSNDCOMPRA","MontoCFI","NdCompraDet","FmtoCFI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","MontoDTO1","NdCompraDet","FmtoDTO1",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","MontoIVA","NDCOMPRADET","FmtoIVA",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","Neto","NDCOMPRADET","FNETO",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","NroItem","NdCompraDet","NroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","Oferta","NdCompraDet","FX2",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","PorcentajeCFI","NdCompraDet","FporCFI",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","PorcentajeDTO1","NdCompraDet","FporDTO1",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","PorcentajeIVA","NdCompraDet","fporIva",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","PrecioConImpuestos","NDCOMPRADET","prunconimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","PrecioDeLista","","",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","PrecioSinImpuestos","NDCOMPRADET","Prunsinimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","PrecioUnitario","NdCompraDet","FPRUN",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","TipoListaDePrecio","NdCompraDet","FN11",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","Unidad","NdCompraDet","FUnid",F,"C",3,0,"CODIGO",F,"UNIDADDEMEDIDA",F,"",F,""
"ITEMARTICULOSNDCOMPRA","idItem","NdCompraDet","ciditem",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","idOrigen","NdCompraDet","iditemOrig",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","CodigoOrigen","","",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","Afe_NroItem","NdCompraDet","AfeNroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","Afe_TipoComprobante","NdCompraDet","AfeTipoCom",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","Afe_Letra","NdCompraDet","AfeLETRA",F,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","Afe_PuntoDeVenta","NdCompraDet","AfePTOVEN",F,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","Afe_Numero","NdCompraDet","AfeNUMCOM",F,"N",10,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","Afe_Cantidad","NdCompraDet","AfeCANT",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","Afe_Saldo","NdCompraDet","AfeSaldo",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","afe_CantidadOriginal","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","afe_SaldoActual","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","afe_SaldoOriginal","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSNDCOMPRA","Articulo_CondicionIvaCompras","NdCompraDet","ACondIvaC",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
