entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMARTICULOSPEDCOMPRA","Articulo","PedCompraDet","FART",T,"C",15,0,"CONSOPORTEPREPANTALLA",F,"ARTICULO",F,"",T,""
"ITEMARTICULOSPEDCOMPRA","Codigo","PedCompraDet","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","MontoPorcentajeDescuentoConImpuesto","PEDCOMPRADET","FCFITot",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","Impuestos","PedCompraDet","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","Kit","PedCompraDet","FKIT",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","Material","PedCompraDet","FAMate",F,"C",10,0,"CARACTER",F,"MATERIAL",F,"",F,"Articulo.Material"
"ITEMARTICULOSPEDCOMPRA","MontoCFI","PedCompraDet","FmtoCFI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","MontoDTO1","PedCompraDet","FmtoDTO1",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","MontoIVA","PEDCOMPRADET","FmtoIVA",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","Neto","PEDCOMPRADET","FNETO",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","NroItem","PedCompraDet","NroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","Oferta","PedCompraDet","FX2",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","PorcentajeCFI","PedCompraDet","FporCFI",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","PorcentajeDTO1","PedCompraDet","FporDTO1",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","PorcentajeIVA","PedCompraDet","fporIva",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","PrecioConImpuestos","PEDCOMPRADET","prunconimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","PrecioDeLista","PedCompraDet","",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","PrecioSinImpuestos","PEDCOMPRADET","Prunsinimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","PrecioUnitario","PedCompraDet","FPRUN",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","TipoListaDePrecio","PedCompraDet","FN11",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","Unidad","PedCompraDet","FUnid",F,"C",3,0,"CODIGO",F,"UNIDADDEMEDIDA",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","idItem","PedCompraDet","ciditem",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","idOrigen","PedCompraDet","iditemOrig",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","CodigoOrigen","PedCompraDet","",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","Afe_NroItem","PedCompraDet","AfeNroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","Afe_TipoComprobante","PedCompraDet","AfeTipoCom",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","Afe_Letra","PedCompraDet","AfeLETRA",F,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","Afe_PuntoDeVenta","PedCompraDet","AfePTOVEN",F,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","Afe_Numero","PedCompraDet","AfeNUMCOM",F,"N",8,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","Afe_Cantidad","PedCompraDet","AfeCANT",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","Afe_Saldo","PedCompraDet","AfeSaldo",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","afe_CantidadOriginal","PedCompraDet","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","afe_SaldoActual","PedCompraDet","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","afe_SaldoOriginal","PedCompraDet","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","Articulo_CondicionIvaCompras","PedCompraDet","ACondIvaC",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","Articulo_PorcentajeIvaCompras","PedCompraDet","APorcIvaC",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","NoProcesarStock","PedCompraDet","ProcStock",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","Afe_timeStamp","PedCompraDet","AfeTS",F,"N",15,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","CodigoDeBarras","","",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","Equivalencia","PedCompraDet","Equiv",F,"C",20,0,"CODIGO",F,"Equivalencia",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","MontoProrrateoRecargoConImpuestos","PedCompraDet","MNTPRECCI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","MontoProrrateoTotal","PedCompraDet","MNTPTOT",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","MontoProrrateoPercepciones","PedCompraDet","MNTPPER",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSPEDCOMPRA","MontoProrrateoDescuentoConImpuestos","PedCompraDet","MNTPDESCI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
