entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMARTICULOSREMCOMPRA","Articulo","RemCompraDet","FART",T,"C",15,0,"CONSOPORTEPREPANTALLA",F,"ARTICULO",F,"",T,""
"ITEMARTICULOSREMCOMPRA","Codigo","RemCompraDet","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","MontoPorcentajeDescuentoConImpuesto","REMCOMPRADET","FCFITot",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","Impuestos","RemCompraDet","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","Kit","RemCompraDet","FKIT",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","Material","RemCompraDet","FAMate",F,"C",10,0,"CARACTER",F,"MATERIAL",F,"",F,"Articulo.Material"
"ITEMARTICULOSREMCOMPRA","MontoCFI","RemCompraDet","FmtoCFI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","MontoDTO1","RemCompraDet","FmtoDTO1",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","MontoIVA","REMCOMPRADET","FmtoIVA",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","Neto","REMCOMPRADET","FNETO",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","NroItem","RemCompraDet","NroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","Oferta","RemCompraDet","FX2",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","PorcentajeCFI","RemCompraDet","FporCFI",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","PorcentajeDTO1","RemCompraDet","FporDTO1",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","PorcentajeIVA","RemCompraDet","fporIva",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","PrecioConImpuestos","REMCOMPRADET","prunconimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","PrecioDeLista","RemCompraDet","",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","PrecioSinImpuestos","REMCOMPRADET","Prunsinimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","PrecioUnitario","RemCompraDet","FPRUN",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","TipoListaDePrecio","RemCompraDet","FN11",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","Unidad","RemCompraDet","FUnid",F,"C",3,0,"CODIGO",F,"UNIDADDEMEDIDA",F,"",F,""
"ITEMARTICULOSREMCOMPRA","idItem","RemCompraDet","ciditem",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","idOrigen","RemCompraDet","iditemOrig",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","CodigoOrigen","RemCompraDet","",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","Afe_Codigo","RemCompraDet","Afe_Cod",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","Afe_TipoComprobante","RemCompraDet","AfeTipoCom",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","Afe_Letra","RemCompraDet","AfeLETRA",F,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","Afe_PuntoDeVenta","RemCompraDet","AfePTOVEN",F,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","Afe_Numero","RemCompraDet","AfeNUMCOM",F,"N",8,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","Afe_Cantidad","RemCompraDet","AfeCANT",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","Afe_Saldo","RemCompraDet","AfeSaldo",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","afe_CantidadOriginal","RemCompraDet","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","afe_SaldoActual","RemCompraDet","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","afe_SaldoOriginal","RemCompraDet","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","Articulo_CondicionIvaCompras","RemCompraDet","ACondIvaC",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","Articulo_PorcentajeIvaCompras","RemCompraDet","APorcIvaC",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","NoProcesarStock","RemCompraDet","ProcStock",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","Afe_timeStamp","RemCompraDet","AfeTS",F,"N",15,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","CodigoDeBarras","","",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","Equivalencia","RemCompraDet","Equiv",F,"C",20,0,"CODIGO",F,"Equivalencia",F,"",F,""
"ITEMARTICULOSREMCOMPRA","MontoProrrateoRecargoConImpuestos","RemCompraDet","MNTPRECCI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","MontoProrrateoTotal","RemCompraDet","MNTPTOT",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","MontoProrrateoPercepciones","RemCompraDet","MNTPPER",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","MontoProrrateoDescuentoConImpuestos","RemCompraDet","MNTPDESCI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","MontoProrrateoRecargoSinImpuestos","RemCompraDet","MNTPRECSI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","MontoProrrateoDescuentoSinImpuestos","RemCompraDet","MNTPDESSI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","MontoPorcentajeDescuentoSinImpuesto","REMCOMPRADET","MNPDSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREMCOMPRA","MontoDescuentoConImpuestos","REMCOMPRADET","MNDESCI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
