entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMARTICULOSREQCOMPRA","Articulo","REQCOMPRADET","FART",T,"C",15,0,"CONSOPORTEPREPANTALLA",F,"ARTICULO",F,"",T,""
"ITEMARTICULOSREQCOMPRA","Codigo","REQCOMPRADET","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","MontoPorcentajeDescuentoConImpuesto","REQCOMPRADET","FCFITot",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Impuestos","REQCOMPRADET","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Kit","REQCOMPRADET","FKIT",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Material","REQCOMPRADET","FAMate",F,"C",10,0,"CARACTER",F,"MATERIAL",F,"",F,"Articulo.Material"
"ITEMARTICULOSREQCOMPRA","MontoCFI","REQCOMPRADET","FmtoCFI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","MontoDTO1","REQCOMPRADET","FmtoDTO1",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","MontoIVA","REQCOMPRADET","FmtoIVA",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Neto","REQCOMPRADET","FNETO",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","NroItem","REQCOMPRADET","NroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Oferta","REQCOMPRADET","FX2",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","PorcentajeCFI","REQCOMPRADET","FporCFI",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","PorcentajeDTO1","REQCOMPRADET","FporDTO1",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","PorcentajeIVA","REQCOMPRADET","fporIva",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","PrecioConImpuestos","REQCOMPRADET","prunconimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","PrecioDeLista","REQCOMPRADET","",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","PrecioSinImpuestos","REQCOMPRADET","Prunsinimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","PrecioUnitario","REQCOMPRADET","FPRUN",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","TipoListaDePrecio","REQCOMPRADET","FN11",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Unidad","REQCOMPRADET","FUnid",F,"C",3,0,"CODIGO",F,"UNIDADDEMEDIDA",F,"",F,""
"ITEMARTICULOSREQCOMPRA","idItem","REQCOMPRADET","ciditem",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","idOrigen","REQCOMPRADET","iditemOrig",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","CodigoOrigen","REQCOMPRADET","",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Afe_NroItem","REQCOMPRADET","AfeNroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Afe_TipoComprobante","REQCOMPRADET","AfeTipoCom",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Afe_Letra","REQCOMPRADET","AfeLETRA",F,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Afe_PuntoDeVenta","REQCOMPRADET","AfePTOVEN",F,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Afe_Numero","REQCOMPRADET","AfeNUMCOM",F,"N",8,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Afe_Cantidad","REQCOMPRADET","AfeCANT",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Afe_Saldo","REQCOMPRADET","AfeSaldo",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","afe_CantidadOriginal","REQCOMPRADET","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","afe_SaldoActual","REQCOMPRADET","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","afe_SaldoOriginal","REQCOMPRADET","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Articulo_CondicionIvaCompras","REQCOMPRADET","ACondIvaC",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Articulo_PorcentajeIvaCompras","REQCOMPRADET","APorcIvaC",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","NoProcesarStock","REQCOMPRADET","ProcStock",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Afe_timeStamp","REQCOMPRADET","AfeTS",F,"N",15,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","CodigoDeBarras","","",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMARTICULOSREQCOMPRA","Equivalencia","REQCOMPRADET","Equiv",F,"C",20,0,"CODIGO",F,"Equivalencia",F,"",F,""
