entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMARTICULOSSENIADOS","Articulo","SeniaVDet","FART",T,"C",15,0,"CLAVECONLECTURACB",F,"ARTICULO",F,"",T,""
"ITEMARTICULOSSENIADOS","Codigo","SeniaVDet","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMARTICULOSSENIADOS","MontoPorcentajeDescuentoConImpuesto","SeniaVDet","FCFITot",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","Impuestos","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","Kit","SeniaVDet","FKIT",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","MontoCFI","SeniaVDet","FmtoCFI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","MontoDTO1","SeniaVDet","FmtoDTO1",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","MontoIVA","SeniaVDet","FmtoIVA",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","Neto","SeniaVDet","FNETO",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","NroItem","SeniaVDet","NroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","Oferta","SeniaVDet","FX2",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","PorcentajeCFI","SeniaVDet","FporCFI",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","PorcentajeDTO1","SeniaVDet","FporDTO1",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","PorcentajeIVA","SeniaVDet","fporIva",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","PrecioConImpuestos","SeniaVDet","prunconimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","PrecioDeLista","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","PrecioSinImpuestos","SeniaVDet","Prunsinimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","PrecioUnitario","SeniaVDet","FPRUN",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","TipoListaDePrecio","SeniaVDet","FN11",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","Unidad","SeniaVDet","FUnid",F,"C",3,0,"CARACTER",F,"UNIDADDEMEDIDA",F,"",F,""
"ITEMARTICULOSSENIADOS","idItem","SeniaVDet","ciditem",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","idOrigen","SeniaVDet","iditemOrig",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","CodigoOrigen","","",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","Afe_NroItem","SeniaVDet","AfeNroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","Afe_TipoComprobante","SeniaVDet","AfeTipoCom",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","Afe_Letra","SeniaVDet","AfeLETRA",F,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","Afe_PuntoDeVenta","SeniaVDet","AfePTOVEN",F,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","Afe_Numero","SeniaVDet","AfeNUMCOM",F,"N",8,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","Afe_Cantidad","SeniaVDet","AfeCANT",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","Afe_Saldo","SeniaVDet","AfeSaldo",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","afe_CantidadOriginal","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","afe_SaldoActual","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","afe_SaldoOriginal","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","Articulo_CondicionIvaVentas","SeniaVDet","ACondIvaV",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","Articulo_PorcentajeIvaVentas","SeniaVDet","APorcIvaV",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","NoProcesarStock","SeniaVDet","ProcStock",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","Afe_timeStamp","SeniaVDet","AfeTS",F,"N",15,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","CodigoDeBarras","","",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","MontoProrrateoRecargoConImpuestos","SeniaVDet","MNTPRECCI",F,"N",17,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","MontoProrrateoTotal","SeniaVDet","MNTPTOT",F,"N",17,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","MontoProrrateoPercepciones","SeniaVDet","MNTPPER",F,"N",17,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","MontoProrrateoDescuentoConImpuestos","SeniaVDet","MNTPDESCI",F,"N",17,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","MontoProrrateoRecargoSinImpuestos","SeniaVDet","MNTPRECSI",F,"N",17,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","MontoProrrateoDescuentoSinImpuestos","SeniaVDet","MNTPDESSI",F,"N",17,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","MontoPorcentajeDescuentoSinImpuesto","SeniaVDet","MNPDSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","MontoDescuentoConImpuestos","SeniaVDet","MNDESCI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","MontoDescuentoSinImpuestos","SeniaVDet","MNDESSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","PrecioSinImpuestosSinRedondear","SeniaVDet","PRECIOSISR",F,"N",15,6,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","PrecioConImpuestosSinRedondear","SeniaVDet","PRECIOCISR",F,"N",15,6,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","PrecioSinRedondear","SeniaVDet","PRECIOSR",F,"N",15,6,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","UsarPrecioDeLista","SeniaVDet","UsarPLista",F,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"ITEMARTICULOSSENIADOS","TipoDeItem","","",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","Bruto","SeniaVDet","FBruto",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","AjustePorRedondeoConImpuestos","SeniaVDet","AjuCImp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","AjustePorRedondeoSinImpuestos","SeniaVDet","AjuSImp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","IdItemArticulos","SeniaVDet","IdItem",F,"G",38,0,"CARACTER",F,"",F,"=goServicios.Librerias.ObtenerGuidPk()",F,""
"ITEMARTICULOSSENIADOS","Stock","","",F,"N",10,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","CodigoGTIN","SeniaVDet","codgtin",F,"C",13,0,"CLAVECONCUALQUIERCARACTER",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","FUEAUTORIZADODEVOLUCION","","",F,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"ITEMARTICULOSSENIADOS","TasaImpuestoInterno","SeniaVDet","tasaimpint",F,"N",7,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","MontoImpuestoInterno","SeniaVDet","impinterno",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","RestringirDescuentos","SeniaVDet","ArtSinDes",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","Afe_Codigo","SeniaVDet","afe_cod",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","TieneRestriccion","SeniaVDet","ConRestr",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","MontoProrrateoRecargoFinancieroSinImp","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","MontoProrrateoDescuentoFinancieroSinImp","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","CodigoMotivoDevolucion","SeniaVDet","MotDevol",F,"C",10,0,"CODIGO",F,"MOTIVODESCUENTOYDEVOLUCION",F,"",F,""
"ITEMARTICULOSSENIADOS","CodigoMotivoDescuento","SeniaVDet","MotDescu",F,"C",10,0,"CODIGO",F,"MOTIVODESCUENTOYDEVOLUCION",F,"",F,""
"ITEMARTICULOSSENIADOS","CodigoAutorizacionDJCP","SeniaVDet","CodAutDJCP",F,"C",150,0,"CARACTER",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","OrdenDeServicio","","",F,"C",20,0,"CARACTER",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","Comportamiento","SeniaVDet","COMP",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMARTICULOSSENIADOS","IdKit","SeniaVDet","IDKIT",F,"G",38,0,"CARACTER",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","EsLibre","","",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","afe_SaldoLiquidacion","SeniaVDet","Afe_SLiq",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","NumeroGiftCard","SeniaVDet","GiftCard",F,"C",38,0,"CODIGO",F,"VALEDECAMBIO",F,"",F,""
"ITEMARTICULOSSENIADOS","PercepcionIvaRG5329","SeniaVDet","ArtPercep",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.PercepcionIvaRG5329"
"ITEMARTICULOSSENIADOS","afe_codigo_Aux","","",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","iditemarticulos_Aux","","",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMARTICULOSSENIADOS","Equivalencia","SeniaVDet","Equiv",F,"C",20,0,"CODIGO",F,"Equivalencia",F,"",F,""
"ITEMARTICULOSSENIADOS","ArticuloDetalle","SeniaVDet","FTXT",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
