entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMARTICULOSSENIADOSEX","Articulo","SeniaVDet","FART",T,"C",15,0,"CLAVECONLECTURACB",F,"ARTICULO",F,"",T,""
"ITEMARTICULOSSENIADOSEX","Codigo","SeniaVDet","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","MontoPorcentajeDescuentoConImpuesto","SeniaVDet","FCFITot",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","Impuestos","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","Kit","SeniaVDet","FKIT",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","MontoCFI","SeniaVDet","FmtoCFI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","MontoDTO1","SeniaVDet","FmtoDTO1",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","MontoIVA","SeniaVDet","FmtoIVA",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","Neto","SeniaVDet","FNETO",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","NroItem","SeniaVDet","NroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","Oferta","SeniaVDet","FX2",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","PorcentajeCFI","SeniaVDet","FporCFI",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","PorcentajeDTO1","SeniaVDet","FporDTO1",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","PorcentajeIVA","SeniaVDet","fporIva",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","PrecioConImpuestos","SeniaVDet","prunconimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","PrecioDeLista","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","PrecioSinImpuestos","SeniaVDet","Prunsinimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","PrecioUnitario","SeniaVDet","FPRUN",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","TipoListaDePrecio","SeniaVDet","FN11",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","Unidad","SeniaVDet","FUnid",F,"C",3,0,"CARACTER",F,"UNIDADDEMEDIDA",F,"",F,""
"ITEMARTICULOSSENIADOSEX","idItem","SeniaVDet","ciditem",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","idOrigen","SeniaVDet","iditemOrig",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","CodigoOrigen","","",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","Afe_NroItem","SeniaVDet","AfeNroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","Afe_TipoComprobante","SeniaVDet","AfeTipoCom",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","Afe_Letra","SeniaVDet","AfeLETRA",F,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","Afe_PuntoDeVenta","SeniaVDet","AfePTOVEN",F,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","Afe_Numero","SeniaVDet","AfeNUMCOM",F,"N",8,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","Afe_Cantidad","SeniaVDet","AfeCANT",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","Afe_Saldo","SeniaVDet","AfeSaldo",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","afe_CantidadOriginal","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","afe_SaldoActual","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","afe_SaldoOriginal","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","Articulo_CondicionIvaVentas","SeniaVDet","ACondIvaV",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","Articulo_PorcentajeIvaVentas","SeniaVDet","APorcIvaV",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","NoProcesarStock","SeniaVDet","ProcStock",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","Afe_timeStamp","SeniaVDet","AfeTS",F,"N",15,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSENIADOSEX","CodigoDeBarras","","",F,"C",38,0,"CARACTER",F,"",F,"",F,""
