entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMARTICULOSSOLCOMPRA","Articulo","SolCompraDet","FART",T,"C",15,0,"CONSOPORTEPREPANTALLA",F,"ARTICULO",F,"",T,""
"ITEMARTICULOSSOLCOMPRA","Codigo","SolCompraDet","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","MontoPorcentajeDescuentoConImpuesto","SOLCOMPRADET","FCFITot",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Impuestos","SolCompraDet","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Kit","SolCompraDet","FKIT",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Material","SolCompraDet","FAMate",F,"C",10,0,"CARACTER",F,"MATERIAL",F,"",F,"Articulo.Material"
"ITEMARTICULOSSOLCOMPRA","MontoCFI","SolCompraDet","FmtoCFI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","MontoDTO1","SolCompraDet","FmtoDTO1",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","MontoIVA","SOLCOMPRADET","FmtoIVA",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Neto","SOLCOMPRADET","FNETO",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","NroItem","SolCompraDet","NroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Oferta","SolCompraDet","FX2",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","PorcentajeCFI","SolCompraDet","FporCFI",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","PorcentajeDTO1","SolCompraDet","FporDTO1",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","PorcentajeIVA","SolCompraDet","fporIva",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","PrecioConImpuestos","SOLCOMPRADET","prunconimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","PrecioDeLista","SolCompraDet","",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","PrecioSinImpuestos","SOLCOMPRADET","Prunsinimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","PrecioUnitario","SolCompraDet","FPRUN",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","TipoListaDePrecio","SolCompraDet","FN11",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Unidad","SolCompraDet","FUnid",F,"C",3,0,"CODIGO",F,"UNIDADDEMEDIDA",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","idItem","SolCompraDet","ciditem",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","idOrigen","SolCompraDet","iditemOrig",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","CodigoOrigen","SolCompraDet","",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Afe_NroItem","SolCompraDet","AfeNroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Afe_TipoComprobante","SolCompraDet","AfeTipoCom",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Afe_Letra","SolCompraDet","AfeLETRA",F,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Afe_PuntoDeVenta","SolCompraDet","AfePTOVEN",F,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Afe_Numero","SolCompraDet","AfeNUMCOM",F,"N",8,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Afe_Cantidad","SolCompraDet","AfeCANT",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Afe_Saldo","SolCompraDet","AfeSaldo",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","afe_CantidadOriginal","SolCompraDet","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","afe_SaldoActual","SolCompraDet","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","afe_SaldoOriginal","SolCompraDet","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Articulo_CondicionIvaCompras","SolCompraDet","ACondIvaC",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Articulo_PorcentajeIvaCompras","SolCompraDet","APorcIvaC",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","NoProcesarStock","SolCompraDet","ProcStock",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Afe_timeStamp","SolCompraDet","AfeTS",F,"N",15,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","CodigoDeBarras","","",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Equivalencia","SolCompraDet","Equiv",F,"C",20,0,"CODIGO",F,"Equivalencia",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","MontoProrrateoRecargoConImpuestos","SolCompraDet","MNTPRECCI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","MontoProrrateoTotal","SolCompraDet","MNTPTOT",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","MontoProrrateoPercepciones","SolCompraDet","MNTPPER",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","MontoProrrateoDescuentoConImpuestos","SolCompraDet","MNTPDESCI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","MontoProrrateoRecargoSinImpuestos","SolCompraDet","MNTPRECSI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","MontoProrrateoDescuentoSinImpuestos","SolCompraDet","MNTPDESSI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","MontoPorcentajeDescuentoSinImpuesto","SOLCOMPRADET","MNPDSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","MontoDescuentoConImpuestos","SOLCOMPRADET","MNDESCI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","MontoDescuentoSinImpuestos","SOLCOMPRADET","MNDESSI",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Afe_Codigo","SolCompraDet","afe_Cod",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","UsarPrecioDeLista","SOLCOMPRADET","UsarPLista",F,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"ITEMARTICULOSSOLCOMPRA","Bruto","SOLCOMPRADET","FBruto",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","AjustePorRedondeoConImpuestos","SOLCOMPRADET","AjuCImp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","AjustePorRedondeoSinImpuestos","SOLCOMPRADET","AjuSImp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","FUEAUTORIZADODEVOLUCION","","",F,"L",1,0,"SINOBOOL",F,"",F,"=.T.",F,""
"ITEMARTICULOSSOLCOMPRA","IdItemArticulos","SOLCOMPRADET","IdItem",F,"G",38,0,"CARACTER",F,"",F,"=goServicios.Librerias.ObtenerGuidPk()",F,""
"ITEMARTICULOSSOLCOMPRA","Comportamiento","SOLCOMPRADET","COMP",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMARTICULOSSOLCOMPRA","EsLibre","","",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","PercepcionIvaRG5329","SOLCOMPRADET","ArtPercep",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.PercepcionIvaRG5329"
"ITEMARTICULOSSOLCOMPRA","ArticuloDetalle","SolCompraDet","FTXT",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
"ITEMARTICULOSSOLCOMPRA","Color","SolCompraDet","FCOLO",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","ColorDetalle","SolCompraDet","FCOTXT",T,"C",50,0,"DESCRIPCION",F,"",F,"",F,"Color.Descripcion"
"ITEMARTICULOSSOLCOMPRA","Talle","SolCompraDet","FTALL",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","MontoProrrateoIVA","SolCompraDet","MNTPIVA",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","IDSeniaCancelada","SolCompraDet","seniacance",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Cantidad","SolCompraDet","FCANT",T,"N",8,2,"NUMERICODECIMALPARAMETRIZADOCO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Precio","SolCompraDet","FPRECIO",T,"N",14,4,"PRECIONONEGATIVOPARAMETROFOCO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Descuento","SolCompraDet","FCFI",T,"N",7,2,"NUMERICOCONSIGNO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","MontoDescuento","SolCompraDet","MNTDES",T,"N",12,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSSOLCOMPRA","Monto","SolCompraDet","FMONTO",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
