entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMARTICULOSVENTAS","Articulo","COMPROBANTEVDET","FART",T,"C",15,0,"CONSOPORTEPREPANTALLA",F,"ARTICULO",F,"",T,""
"ITEMARTICULOSVENTAS","Codigo","COMPROBANTEVDET","CODIGO",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMARTICULOSVENTAS","MontoPorcentajeDescuentoConImpuesto","COMPROBANTEVDET","FCFITot",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","Impuestos","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","Kit","COMPROBANTEVDET","FKIT",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","MontoCFI","COMPROBANTEVDET","FmtoCFI",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","MontoDTO1","COMPROBANTEVDET","FmtoDTO1",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","MontoIVA","COMPROBANTEVDET","FmtoIVA",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","Neto","COMPROBANTEVDET","FNETO",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","NroItem","COMPROBANTEVDET","NroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","Oferta","COMPROBANTEVDET","FX2",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","PorcentajeCFI","COMPROBANTEVDET","FporCFI",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","PorcentajeDTO1","COMPROBANTEVDET","FporDTO1",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","PorcentajeIVA","COMPROBANTEVDET","fporIva",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","PrecioConImpuestos","COMPROBANTEVDET","prunconimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","PrecioDeLista","","",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","PrecioSinImpuestos","COMPROBANTEVDET","Prunsinimp",F,"N",15,4,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","PrecioUnitario","COMPROBANTEVDET","FPRUN",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","TipoListaDePrecio","COMPROBANTEVDET","FN11",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","Unidad","COMPROBANTEVDET","FUnid",F,"C",3,0,"CARACTER",F,"UNIDADDEMEDIDA",F,"",F,""
"ITEMARTICULOSVENTAS","idItem","COMPROBANTEVDET","ciditem",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","idOrigen","COMPROBANTEVDET","iditemOrig",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","CodigoOrigen","","",F,"N",9,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","Afe_NroItem","COMPROBANTEVDET","AfeNroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","Afe_TipoComprobante","COMPROBANTEVDET","AfeTipoCom",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","Afe_Letra","COMPROBANTEVDET","AfeLETRA",F,"C",1,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","Afe_PuntoDeVenta","COMPROBANTEVDET","AfePTOVEN",F,"N",4,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","Afe_Numero","COMPROBANTEVDET","AfeNUMCOM",F,"N",8,0,"NUMEROCOMPROBANTE",F,"",F,"",F,""
"ITEMARTICULOSVENTAS","Afe_Cantidad","COMPROBANTEVDET","AfeCANT",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
