entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMATRIBUTOSIMPRESION","Codigo","DisAtributos","iCod",F,"C",40,0,"CODIGO",T,"",F,"",F,""
"ITEMATRIBUTOSIMPRESION","Area","DisAtributos","cArea",T,"C",20,0,"CARACTER",F,"",F,"",T,""
"ITEMATRIBUTOSIMPRESION","Tipo","DisAtributos","cTipo",T,"C",3,0,"CODIGO",F,"TIPOATRIBUTOIMPRESION",F,"",F,""
"ITEMATRIBUTOSIMPRESION","TipoDetalle","DisAtributos","cTipoDesc",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Tipo.Descripcion"
"ITEMATRIBUTOSIMPRESION","Contenido","DisAtributos","cContenido",T,"C",254,0,"CARACTER",F,"",T,"",F,""
"ITEMATRIBUTOSIMPRESION","y","DisAtributos","cPosY",T,"N",8,2,"TWIPSAMM",F,"",F,"",F,""
"ITEMATRIBUTOSIMPRESION","x","DisAtributos","cPosX",T,"N",8,2,"TWIPSAMM",F,"",F,"",F,""
"ITEMATRIBUTOSIMPRESION","Orientacion","DisAtributos","norientaci",T,"N",1,0,"COMBOXML",F,"",F,"",F,""
"ITEMATRIBUTOSIMPRESION","Ancho","DisAtributos","cAncho",T,"N",8,2,"NUMERICO",F,"",F,"",F,""
"ITEMATRIBUTOSIMPRESION","Estilo","DisAtributos","cEstilo",T,"C",10,0,"CODIGO",F,"ESTILOIMPRESION",F,"",F,""
"ITEMATRIBUTOSIMPRESION","Mascara","DisAtributos","cMascara",T,"C",254,0,"CARACTER",F,"",F,"",F,""
"ITEMATRIBUTOSIMPRESION","Condicion","DisAtributos","cCondicion",T,"C",254,0,"CARACTER",F,"",T,"",F,""
"ITEMATRIBUTOSIMPRESION","FuncionAgrupar","DisAtributos","FAgrupar",T,"N",2,0,"COMBOXML",F,"",F,"",F,""
"ITEMATRIBUTOSIMPRESION","PrioridadOrdenamiento","DisAtributos","npriordena",T,"N",2,0,"NUMERICONONEGATIVO",F,"",F,"",F,""
"ITEMATRIBUTOSIMPRESION","TipoOrdenamiento","DisAtributos","ntipordena",T,"N",1,0,"COMBOXML",F,"",F,"",F,""
