entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMCANJECUPONES","Codigo","CanjeCuponesDet","JJNUM",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMCANJECUPONES","Cotiza","CanjeCuponesDet","JJCotiz",F,"N",15,5,"NUMERICO",F,"",F,"",F,""
"ITEMCANJECUPONES","FechaComp","CanjeCuponesDet","JJfecha",F,"D",8,0,"FECHA",F,"",F,"",F,""
"ITEMCANJECUPONES","Letra","CanjeCuponesDet","Letra",F,"C",1,0,"CARACTER",F,"",F,"",F,""
"ITEMCANJECUPONES","NroDocumento","CanjeCuponesDet","NroDoc",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"ITEMCANJECUPONES","NroItem","CanjeCuponesDet","NroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMCANJECUPONES","NumeroCheque","CanjeCuponesDet","NroCheque",F,"G",38,0,"CODIGO",F,"CHEQUE",F,"",F,""
"ITEMCANJECUPONES","NumeroCupon","CanjeCuponesDet","NroCupon",F,"N",12,0,"NUMERICO",F,"",F,"",F,""
"ITEMCANJECUPONES","NumeroTarjeta","CanjeCuponesDet","NroTarjeta",F,"C",25,0,"CARACTER",F,"",F,"",F,""
"ITEMCANJECUPONES","NumerodeComprobante","CanjeCuponesDet","NumCompr",F,"N",8,0,"NUMERICO",F,"",F,"",F,""
"ITEMCANJECUPONES","PuntoDeVenta","CanjeCuponesDet","PtoVenta",F,"N",4,0,"NUMERICO",F,"",F,"",F,""
"ITEMCANJECUPONES","Signo","CanjeCuponesDet","Signo",F,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMCANJECUPONES","Tipo","CanjeCuponesDet","JJT",F,"N",2,0,"NUMERICO",F,"",F,"",F,"Valor.Tipo"
"ITEMCANJECUPONES","TipoDocumento","CanjeCuponesDet","TipoDoc",F,"C",2,0,"CARACTER",F,"",F,"",F,""
"ITEMCANJECUPONES","TipodeComprobante","CanjeCuponesDet","TIPCOMP",F,"C",3,0,"CARACTER",F,"",F,"",F,""
"ITEMCANJECUPONES","Turno","CanjeCuponesDet","JJTurno",F,"N",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMCANJECUPONES","Valor","CanjeCuponesDet","JJCO",T,"C",5,0,"CODIGO",F,"VALOR",F,"",T,""
