entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMCDRIMPUESTOS","Codigo","CRImpDet","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMCDRIMPUESTOS","ConvenioMultilateral","CRImpDet","ConvMulti",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","PorcentajeDeConvenio","CRImpDet","PorConvMul",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","PorcentajeDeBase","CRImpDet","PorcBase",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","MontoBase","CRImpDet","MontoBase",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","BaseDeCalculo","CRImpDet","BaseCalc",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","RegimenImpositivo","CRImpDet","RegimenImp",F,"C",5,0,"CARACTER",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","Escala","CRImpDet","Escala",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","Minimo","CRImpDet","Minimo",F,"N",12,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","AcumuladoPagos","CRImpDet","AcumPagos",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","AcumuladoRetenciones","CRImpDet","AcumRetenc",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","EscalaMontoFijo","CRImpDet","EscFijo",F,"N",12,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","EscalaPorcentaje","CRImpDet","EscPorc",F,"N",6,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","EscalaSobreExcedente","CRImpDet","EscExced",F,"N",12,2,"NUMERICONONEGATIVO",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","MinimoNoImp","CRImpDet","MinNoImp",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","MontoComprobanteOrigen","CRImpDet","MontoOrige",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","RegimenImpositivoDescripcion","CRImpDet","RegimDescr",F,"C",100,0,"CARACTER",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","AcumuladoComprobantes","CRImpDet","AcumCompr",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","esRG2616AR","CRImpDet","esRG2616AR",F,"L",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","esRG1575AR","CRImpDet","esRG1575AR",F,"L",1,0,"NUMERICO",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","CertificadoSIRE","CRImpDet","SIRECERT",F,"C",25,0,"NUMERICO",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","CodSeguridadSIRE","CRImpDet","SIRECS",F,"C",4,0,"CARACTER",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","CodImp","CRImpDet","CodImp",T,"C",10,0,"CODIGO",F,"IMPUESTO",F,"",T,""
"ITEMCDRIMPUESTOS","CodImpDetalle","CRImpDet","Descri",F,"C",50,0,"CARACTER",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","Jurisdiccion","CRImpDet","Jurisdicci",F,"C",8,0,"CARACTER",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","JurisdiccionDescripcion","CRImpDet","JurisDeta",T,"C",50,0,"CARACTER",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","Resolucion","CRImpDet","ResolDeta",T,"C",60,0,"CARACTER",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","MinimoNoImponible","CRImpDet","MinNoImpo",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","Porcentaje","CRImpDet","Porcentaje",F,"N",6,2,"NUMERICO",F,"",F,"",F,""
"ITEMCDRIMPUESTOS","Monto","CRImpDet","Monto",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
