entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMCHCUSTODIA","Codigo","CHCUSTODIADET","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMCHCUSTODIA","Registro","CHCUSTODIADET","Reg",F,"C",20,0,"CARACTERREGISTRODECUENTA",F,"",F,"",F,""
"ITEMCHCUSTODIA","NumeroInterno","CHCUSTODIADET","NroInterno",T,"C",15,0,"CARACTER",F,"",F,"",T,""
"ITEMCHCUSTODIA","EntidadFinanciera","","",T,"C",5,0,"CODIGO",F,"ENTIDADFINANCIERA",F,"",F,""
"ITEMCHCUSTODIA","EntidadFinancieraDescripcion","","",T,"C",150,0,"CARACTER",F,"",F,"",F,""
"ITEMCHCUSTODIA","Numero","","",T,"N",8,0,"NUMERICO",F,"",F,"",F,""
"ITEMCHCUSTODIA","FechaEmision","","",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"ITEMCHCUSTODIA","FechaPago","","",T,"D",8,0,"FECHACALENDARIO",F,"",F,"",F,""
"ITEMCHCUSTODIA","CUITLibrador","","",T,"C",15,0,"CARACTER",F,"",F,"",F,""
"ITEMCHCUSTODIA","Cliente","","",T,"C",10,0,"CODIGO",F,"CLIENTE",F,"",F,""
"ITEMCHCUSTODIA","ClienteDescripcion","","",T,"C",185,0,"DESCRIPCION",F,"",T,"",F,"Cliente.Nombre"
"ITEMCHCUSTODIA","Monto","","",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMCHCUSTODIA","Seleccion","","",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMCHCUSTODIA","Estado","CHCUSTODIADET","Estado",F,"C",5,0,"COMBOSERVICIOCHEQUE",F,"",F,"",F,""
"ITEMCHCUSTODIA","IDCheque","CHCUSTODIADET","IDCheque",F,"G",38,0,"CODIGO",F,"CHEQUE",F,"",F,""
