entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMCOTIZAORDENDESCARTE","Codigo","COTORDDESC","Cotizalqde",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMCOTIZAORDENDESCARTE","Comportamiento","COTORDDESC","Comp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMCOTIZAORDENDESCARTE","IdItemInsumo","COTORDDESC","IdItem",F,"G",38,0,"CARACTER",F,"",F,"=goServicios.Librerias.ObtenerGuidPk()",F,""
"ITEMCOTIZAORDENDESCARTE","Semielaborado","COTORDDESC","SemiElab",T,"C",25,0,"CODIGO",F,"INSUMO",F,"",T,""
"ITEMCOTIZAORDENDESCARTE","SemielaboradoDetalle","COTORDDESC","SemiDeta",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Semielaborado.Descripcion"
"ITEMCOTIZAORDENDESCARTE","Color","COTORDDESC","codColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMCOTIZAORDENDESCARTE","ColorDetalle","COTORDDESC","ColorDeta",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Color.Descripcion"
"ITEMCOTIZAORDENDESCARTE","Talle","COTORDDESC","codTalle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMCOTIZAORDENDESCARTE","TalleDetalle","COTORDDESC","TalleDeta",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Talle.Descripcion"
"ITEMCOTIZAORDENDESCARTE","Cantidad","COTORDDESC","Cantidad",T,"N",14,6,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"0",F,""
"ITEMCOTIZAORDENDESCARTE","Articulo","COTORDDESC","ArtLiq",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",F,""
"ITEMCOTIZAORDENDESCARTE","ArticuloDetalle","COTORDDESC","ArtDesc",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
"ITEMCOTIZAORDENDESCARTE","Costo","COTORDDESC","Costo",T,"N",12,4,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"0",F,""
"ITEMCOTIZAORDENDESCARTE","Monto","COTORDDESC","Monto",T,"N",15,4,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"0",F,""
