entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMCOTIZAORDENINSUMOS","Codigo","COTORDINS","Cotizalqin",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMCOTIZAORDENINSUMOS","Comportamiento","COTORDINS","Comp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMCOTIZAORDENINSUMOS","IdItemInsumo","COTORDINS","IdItem",F,"G",38,0,"CARACTER",F,"",F,"=goServicios.Librerias.ObtenerGuidPk()",F,""
"ITEMCOTIZAORDENINSUMOS","Insumo","COTORDINS","Insumo",T,"C",25,0,"CODIGO",F,"INSUMO",F,"",T,""
"ITEMCOTIZAORDENINSUMOS","InsumoDetalle","COTORDINS","InsDeta",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Insumo.Descripcion"
"ITEMCOTIZAORDENINSUMOS","Color","COTORDINS","codColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMCOTIZAORDENINSUMOS","ColorDetalle","COTORDINS","ColorDeta",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Color.Descripcion"
"ITEMCOTIZAORDENINSUMOS","Talle","COTORDINS","codTalle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMCOTIZAORDENINSUMOS","TalleDetalle","COTORDINS","TalleDeta",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Talle.Descripcion"
"ITEMCOTIZAORDENINSUMOS","Cantidad","COTORDINS","Cantidad",T,"N",14,6,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"0",F,""
"ITEMCOTIZAORDENINSUMOS","Articulo","COTORDINS","ArtLiq",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",F,""
"ITEMCOTIZAORDENINSUMOS","ArticuloDetalle","COTORDINS","ArtDesc",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
"ITEMCOTIZAORDENINSUMOS","Costo","COTORDINS","Costo",T,"N",12,4,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"0",F,""
"ITEMCOTIZAORDENINSUMOS","Monto","COTORDINS","Monto",T,"N",15,4,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"0",F,""
