entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMCOTIZAORDENPRODUCC","Codigo","COTORDPROD","Cotizalqpr",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMCOTIZAORDENPRODUCC","Comportamiento","COTORDPROD","Comp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMCOTIZAORDENPRODUCC","IdItemInsumo","COTORDPROD","IdItem",F,"G",38,0,"CARACTER",F,"",F,"=goServicios.Librerias.ObtenerGuidPk()",F,""
"ITEMCOTIZAORDENPRODUCC","Semielaborado","COTORDPROD","SemiElab",T,"C",25,0,"CODIGO",F,"INSUMO",F,"",T,""
"ITEMCOTIZAORDENPRODUCC","SemielaboradoDetalle","COTORDPROD","SemiDeta",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Semielaborado.Descripcion"
"ITEMCOTIZAORDENPRODUCC","Color","COTORDPROD","codColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMCOTIZAORDENPRODUCC","ColorDetalle","COTORDPROD","ColorDeta",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Color.Descripcion"
"ITEMCOTIZAORDENPRODUCC","Talle","COTORDPROD","codTalle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMCOTIZAORDENPRODUCC","TalleDetalle","COTORDPROD","TalleDeta",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Talle.Descripcion"
"ITEMCOTIZAORDENPRODUCC","Cantidad","COTORDPROD","Cantidad",T,"N",14,6,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"0",F,""
"ITEMCOTIZAORDENPRODUCC","Articulo","COTORDPROD","ArtLiq",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",F,""
"ITEMCOTIZAORDENPRODUCC","ArticuloDetalle","COTORDPROD","ArtDesc",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
"ITEMCOTIZAORDENPRODUCC","Costo","COTORDPROD","Costo",T,"N",12,4,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"0",F,""
"ITEMCOTIZAORDENPRODUCC","Monto","COTORDPROD","Monto",T,"N",15,4,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"0",F,""
