entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMFILTROPERSONALIZADO","codigo","DETFILTROPER","codigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMFILTROPERSONALIZADO","Identificador","DETFILTROPER","Identifica",T,"C",200,0,"CARACTER",F,"",F,"",F,""
"ITEMFILTROPERSONALIZADO","idCampo","DETFILTROPER","idCampo",T,"N",8,0,"NUMERICO",F,"",T,"",F,""
"ITEMFILTROPERSONALIZADO","ValorDesde","DETFILTROPER","desde",T,"C",250,0,"CARACTER",F,"",F,"",F,""
"ITEMFILTROPERSONALIZADO","SoloLecturaDesde","DETFILTROPER","SLD",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMFILTROPERSONALIZADO","ValorHasta","DETFILTROPER","hasta",T,"C",250,0,"CARACTER",F,"",F,"",F,""
"ITEMFILTROPERSONALIZADO","SoloLecturaHasta","DETFILTROPER","SLH",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMFILTROPERSONALIZADO","nOrden","DETFILTROPER","nOrden",T,"N",8,0,"NUMERICO",F,"",F,"",F,""
"ITEMFILTROPERSONALIZADO","Activado","DETFILTROPER","activado",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMFILTROPERSONALIZADO","CriterioDeInicializacion","DETFILTROPER","CriteInit",T,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMFILTROPERSONALIZADO","DiasHaciaAtras","DETFILTROPER","DiasAtras",T,"N",4,0,"NUMERICO",F,"",F,"",F,""
"ITEMFILTROPERSONALIZADO","ValorNumericoInicial_Desde","DETFILTROPER","VNIDesde",T,"N",17,4,"NUMERICO",F,"",F,"",F,""
"ITEMFILTROPERSONALIZADO","ValorNumericoInicial_Hasta","DETFILTROPER","VNIHasta",T,"N",17,4,"NUMERICO",F,"",F,"",F,""
"ITEMFILTROPERSONALIZADO","ValorCaracterInicial_Desde","DETFILTROPER","VCIDesde",T,"C",250,0,"CARACTER",F,"",F,"",F,""
"ITEMFILTROPERSONALIZADO","ValorCaracterInicial_Hasta","DETFILTROPER","VCIHasta",T,"C",250,0,"CARACTER",F,"",F,"",F,""
"ITEMFILTROPERSONALIZADO","ValorBooleanoInicial","DETFILTROPER","VIBooleano",T,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMFILTROPERSONALIZADO","ValorSiNoInicial","DETFILTROPER","VISiNoBool",T,"N",2,0,"NUMERICO",F,"",F,"",F,""
"ITEMFILTROPERSONALIZADO","SoloLectura","DETFILTROPER","SLectura",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMFILTROPERSONALIZADO","NoInformar","DETFILTROPER","NoInformar",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMFILTROPERSONALIZADO","NoMostrar","DETFILTROPER","NoMostrar",T,"L",1,0,"SINOBOOL",F,"",F,"",F,""
