entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMGESTIONCURVA","Codigo","GESPCURV","GesProdCur",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMGESTIONCURVA","Comportamiento","GESPCURV","COMP",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMGESTIONCURVA","IdItemInsumo","GESPCURV","IdItem",F,"G",38,0,"CARACTER",F,"",F,"=goServicios.Librerias.ObtenerGuidPk()",F,""
"ITEMGESTIONCURVA","Articulo","GESPCURV","MARTDF",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",T,""
"ITEMGESTIONCURVA","ArticuloDetalle","GESPCURV","DESCRIPDF",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
"ITEMGESTIONCURVA","ColorM","GESPCURV","cColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMGESTIONCURVA","ColorMDetalle","GESPCURV","cColDet",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"ColorM.Descripcion"
"ITEMGESTIONCURVA","TalleM","GESPCURV","cTalle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMGESTIONCURVA","TalleMDetalle","GESPCURV","cTalleDet",F,"C",50,0,"DESCRIPCION",F,"",T,"",F,"TalleM.Descripcion"
"ITEMGESTIONCURVA","Insumo","GESPCURV","Insumo",T,"C",25,0,"CODIGO",F,"INSUMO",F,"",F,""
"ITEMGESTIONCURVA","InsumoDetalle","GESPCURV","InsumoDet",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Insumo.Descripcion"
"ITEMGESTIONCURVA","Color","GESPCURV","CodColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMGESTIONCURVA","ColorDetalle","GESPCURV","FCOLTXT",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Color.Descripcion"
"ITEMGESTIONCURVA","Talle","GESPCURV","CodTalle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMGESTIONCURVA","TalleDetalle","GESPCURV","TalleDet",F,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Talle.Descripcion"
"ITEMGESTIONCURVA","Partida","GESPCURV","Partida",T,"C",25,0,"CARACTER",F,"",F,"",F,""
"ITEMGESTIONCURVA","CantProducida","GESPCURV","CantProd",T,"N",14,6,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"",F,""
"ITEMGESTIONCURVA","CantDescarte","GESPCURV","CantDesc",T,"N",14,6,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"",F,""
