entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMGESTIONDESCARTE","Codigo","GESPDESC","GesProdDes",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMGESTIONDESCARTE","Comportamiento","GESPDESC","COMP",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMGESTIONDESCARTE","IdItemInsumo","GESPDESC","IdItem",F,"G",38,0,"CARACTER",F,"",F,"=goServicios.Librerias.ObtenerGuidPk()",F,""
"ITEMGESTIONDESCARTE","Articulo","GESPDESC","MARTDF",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",T,""
"ITEMGESTIONDESCARTE","ArticuloDetalle","GESPDESC","DESCRIPDF",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
"ITEMGESTIONDESCARTE","ColorM","GESPDESC","cColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMGESTIONDESCARTE","ColorMDetalle","GESPDESC","cColDet",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"ColorM.Descripcion"
"ITEMGESTIONDESCARTE","TalleM","GESPDESC","cTalle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMGESTIONDESCARTE","TalleMDetalle","GESPDESC","cTalleDet",F,"C",50,0,"DESCRIPCION",F,"",T,"",F,"TalleM.Descripcion"
"ITEMGESTIONDESCARTE","Insumo","GESPDESC","Insumo",T,"C",25,0,"CODIGO",F,"INSUMO",F,"",F,""
"ITEMGESTIONDESCARTE","InsumoDetalle","GESPDESC","InsumoDet",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Insumo.Descripcion"
"ITEMGESTIONDESCARTE","Color","GESPDESC","CodColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMGESTIONDESCARTE","ColorDetalle","GESPDESC","FCOLTXT",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Color.Descripcion"
"ITEMGESTIONDESCARTE","Talle","GESPDESC","CodTalle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMGESTIONDESCARTE","TalleDetalle","GESPDESC","ITalleTxt",F,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Talle.Descripcion"
"ITEMGESTIONDESCARTE","Partida","GESPDESC","Partida",T,"C",25,0,"CARACTER",F,"",F,"",F,""
"ITEMGESTIONDESCARTE","MotDescarte","GESPDESC","MotDesc",T,"C",15,0,"CODIGO",F,"MOTIVODESCARTE",F,"",F,""
"ITEMGESTIONDESCARTE","MotDescarteDetalle","GESPDESC","MotDescDet",T,"C",254,0,"DESCRIPCION",F,"",T,"",F,"MotDescarte.Descripcion"
"ITEMGESTIONDESCARTE","InventarioDest","GESPDESC","InventDest",T,"C",15,0,"CODIGO",F,"INVENTARIO",F,"",F,""
"ITEMGESTIONDESCARTE","InventarioDestDetalle","GESPDESC","InventDDet",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"InventarioDest.descripcion"
"ITEMGESTIONDESCARTE","CantDescarte","GESPDESC","CantDesc",T,"N",14,6,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"",F,""
