entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMGESTIONINSDESC","Codigo","GESPIND","GesProdInD",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMGESTIONINSDESC","Comportamiento","GESPIND","COMP",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMGESTIONINSDESC","IdItemInsumo","GESPIND","IdItem",F,"G",38,0,"CARACTER",F,"",F,"=goServicios.Librerias.ObtenerGuidPk()",F,""
"ITEMGESTIONINSDESC","Articulo","GESPIND","MARTDF",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",T,""
"ITEMGESTIONINSDESC","ArticuloDetalle","GESPIND","DESCRIPDF",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
"ITEMGESTIONINSDESC","ColorM","GESPIND","cColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMGESTIONINSDESC","ColorMDetalle","GESPIND","cColDet",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"ColorM.Descripcion"
"ITEMGESTIONINSDESC","TalleM","GESPIND","cTalle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMGESTIONINSDESC","TalleMDetalle","GESPIND","cTalleDet",F,"C",50,0,"DESCRIPCION",F,"",T,"",F,"TalleM.Descripcion"
"ITEMGESTIONINSDESC","Insumo","GESPIND","Insumo",T,"C",25,0,"CODIGO",F,"INSUMO",F,"",F,""
"ITEMGESTIONINSDESC","InsumoDetalle","GESPIND","cInsDet",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Insumo.Descripcion"
"ITEMGESTIONINSDESC","Color","GESPIND","CodColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMGESTIONINSDESC","ColorDetalle","GESPIND","FCOLTXT",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Color.Descripcion"
"ITEMGESTIONINSDESC","Talle","GESPIND","CodTalle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMGESTIONINSDESC","TalleDetalle","GESPIND","ITalleTxt",F,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Talle.Descripcion"
"ITEMGESTIONINSDESC","Partida","GESPIND","Partida",T,"C",25,0,"CARACTER",F,"",F,"",F,""
"ITEMGESTIONINSDESC","Cantidad","GESPIND","Cantidad",T,"N",14,6,"NUMERICODECIMALPARAMETRIZADOPR",F,"",T,"",F,""
