entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMGESTIONINSUMO","Codigo","GESPINS","GesProdIns",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMGESTIONINSUMO","CantPorUnidad","GESPINS","CantUnit",F,"N",14,6,"NUMERICONONEGATIVO",F,"",T,"",F,""
"ITEMGESTIONINSUMO","Comportamiento","GESPINS","COMP",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMGESTIONINSUMO","IdItemInsumo","GESPINS","IdItem",F,"G",38,0,"CARACTER",F,"",F,"=goServicios.Librerias.ObtenerGuidPk()",F,""
"ITEMGESTIONINSUMO","Articulo","GESPINS","MARTDF",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",T,""
"ITEMGESTIONINSUMO","ArticuloDetalle","GESPINS","DESCRIPDF",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
"ITEMGESTIONINSUMO","ColorM","GESPINS","cColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMGESTIONINSUMO","ColorMDetalle","GESPINS","cColDet",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"ColorM.Descripcion"
"ITEMGESTIONINSUMO","TalleM","GESPINS","cTalle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMGESTIONINSUMO","TalleMDetalle","GESPINS","cTalleDet",F,"C",50,0,"DESCRIPCION",F,"",T,"",F,"TalleM.Descripcion"
"ITEMGESTIONINSUMO","Insumo","GESPINS","Insumo",T,"C",25,0,"CODIGO",F,"INSUMO",F,"",F,""
"ITEMGESTIONINSUMO","InsumoDetalle","GESPINS","cInsDet",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Insumo.Descripcion"
"ITEMGESTIONINSUMO","Color","GESPINS","CodColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMGESTIONINSUMO","ColorDetalle","GESPINS","FCOLTXT",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Color.Descripcion"
"ITEMGESTIONINSUMO","Talle","GESPINS","CodTalle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMGESTIONINSUMO","TalleDetalle","GESPINS","ITalleTxt",F,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Talle.Descripcion"
"ITEMGESTIONINSUMO","Partida","GESPINS","Partida",T,"C",25,0,"CARACTER",F,"",F,"",F,""
"ITEMGESTIONINSUMO","Cantidad","GESPINS","Cantidad",T,"N",14,6,"NUMERICODECIMALPARAMETRIZADOPR",F,"",T,"",F,""
