entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMIMPUESTOVENTAS","Codigo","impVentas","cCod",F,"G",38,0,"CODIGO",T,"",T,"",F,""
"ITEMIMPUESTOVENTAS","NroItem","impVentas","NroItem",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMIMPUESTOVENTAS","Monto","impVentas","Monto",F,"N",17,4,"NUMERICO",F,"",F,"",F,""
"ITEMIMPUESTOVENTAS","Descripcion","impVentas","Descri",F,"C",250,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPUESTOVENTAS","TipoImpuesto","impVentas","TipoI",F,"C",50,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPUESTOVENTAS","CodigoInterno","impVentas","codint",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPUESTOVENTAS","Porcentaje","impVentas","porcen",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMIMPUESTOVENTAS","MinimoNoImponible","impVentas","minoimp",F,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMIMPUESTOVENTAS","Jurisdiccion","impVentas","jurId",F,"C",8,0,"CODIGO",F,"JURISDICCION",F,"",F,""
"ITEMIMPUESTOVENTAS","CodigoImpuesto","impVentas","CodImp",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPUESTOVENTAS","RegimenImpositivo","impVentas","RegimenImp",F,"C",5,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPUESTOVENTAS","MontoBase","impVentas","MontoBase",F,"N",17,4,"NUMERICO",F,"",F,"",F,""
"ITEMIMPUESTOVENTAS","BaseDeCalculo","impVentas","Base",F,"C",10,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPUESTOVENTAS","Minimo","impVentas","MinimoPer",F,"N",12,2,"NUMERICO",F,"",F,"",F,""
"ITEMIMPUESTOVENTAS","CertificadoSIRE","impVentas","SIRECERT",F,"C",25,0,"NUMERICO",F,"",F,"",F,""
"ITEMIMPUESTOVENTAS","CodSeguridadSIRE","impVentas","SIRECS",F,"C",4,0,"CARACTER",F,"",F,"",F,""
"ITEMIMPUESTOVENTAS","RG5329AplicaPorArticulo","impVentas","ArtPerce",F,"L",1,0,"SINOBOOL",F,"",F,"",F,"Impuesto.RG5329AplicaPorArticulo"
"ITEMIMPUESTOVENTAS","RG5329Porcentaje","impVentas","ArtPercep",F,"N",6,2,"NUMERICONONEGATIVO",F,"",F,"",F,"Impuesto.RG5329Porcentaje"
