entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMLIQTALLERDESCARTE","Codigo","LIQTDESC","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMLIQTALLERDESCARTE","Comportamiento","LIQTDESC","Comp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMLIQTALLERDESCARTE","IdItemInsumo","LIQTDESC","IdItem",F,"G",38,0,"CARACTER",F,"",F,"=goServicios.Librerias.ObtenerGuidPk()",F,""
"ITEMLIQTALLERDESCARTE","Proceso","LIQTDESC","Proceso",T,"C",15,0,"CODIGO",F,"PROCESOPRODUCCION",F,"",T,""
"ITEMLIQTALLERDESCARTE","ProcesoDetalle","LIQTDESC","ProcDeta",T,"C",250,0,"DESCRIPCION",F,"",F,"",F,"Proceso.Descripcion"
"ITEMLIQTALLERDESCARTE","Semielaborado","LIQTDESC","SemiElab",T,"C",25,0,"CODIGO",F,"INSUMO",F,"",F,""
"ITEMLIQTALLERDESCARTE","SemielaboradoDetalle","LIQTDESC","SemiDeta",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Semielaborado.Descripcion"
"ITEMLIQTALLERDESCARTE","Color","LIQTDESC","codColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMLIQTALLERDESCARTE","ColorDetalle","LIQTDESC","ColorDeta",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Color.Descripcion"
"ITEMLIQTALLERDESCARTE","Talle","LIQTDESC","codTalle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMLIQTALLERDESCARTE","TalleDetalle","LIQTDESC","TalleDeta",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Talle.Descripcion"
"ITEMLIQTALLERDESCARTE","Cantidad","LIQTDESC","Cantidad",T,"N",14,6,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"",F,""
"ITEMLIQTALLERDESCARTE","Resto","","",F,"N",14,6,"NUMERICO",F,"",F,"",F,""
"ITEMLIQTALLERDESCARTE","Articulo","LIQTDESC","ArtLiq",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",T,""
"ITEMLIQTALLERDESCARTE","ArticuloDetalle","LIQTDESC","ArtDesc",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
"ITEMLIQTALLERDESCARTE","Costo","LIQTDESC","Costo",T,"N",12,4,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"",F,""
"ITEMLIQTALLERDESCARTE","Monto","LIQTDESC","Monto",T,"N",15,4,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"",F,""
