entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMLIQTALLERINSUMOS","Codigo","LIQTINS","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMLIQTALLERINSUMOS","Comportamiento","LIQTINS","Comp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMLIQTALLERINSUMOS","IdItemInsumo","LIQTINS","IdItem",F,"G",38,0,"CARACTER",F,"",F,"=goServicios.Librerias.ObtenerGuidPk()",F,""
"ITEMLIQTALLERINSUMOS","Proceso","LIQTINS","Proceso",T,"C",15,0,"CODIGO",F,"PROCESOPRODUCCION",F,"",T,""
"ITEMLIQTALLERINSUMOS","ProcesoDetalle","LIQTINS","ProcDeta",T,"C",250,0,"DESCRIPCION",F,"",F,"",F,"Proceso.Descripcion"
"ITEMLIQTALLERINSUMOS","Insumo","LIQTINS","Insumo",T,"C",25,0,"CODIGO",F,"INSUMO",F,"",F,""
"ITEMLIQTALLERINSUMOS","InsumoDetalle","LIQTINS","InsDeta",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Insumo.Descripcion"
"ITEMLIQTALLERINSUMOS","Color","LIQTINS","codColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMLIQTALLERINSUMOS","ColorDetalle","LIQTINS","ColorDeta",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Color.Descripcion"
"ITEMLIQTALLERINSUMOS","Talle","LIQTINS","codTalle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMLIQTALLERINSUMOS","TalleDetalle","LIQTINS","TalleDeta",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Talle.Descripcion"
"ITEMLIQTALLERINSUMOS","Cantidad","LIQTINS","Cantidad",T,"N",14,6,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"",T,""
"ITEMLIQTALLERINSUMOS","Resto","","",F,"N",14,6,"NUMERICO",F,"",F,"",F,""
"ITEMLIQTALLERINSUMOS","Articulo","LIQTINS","ArtLiq",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",T,""
"ITEMLIQTALLERINSUMOS","ArticuloDetalle","LIQTINS","ArtDesc",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
"ITEMLIQTALLERINSUMOS","Costo","LIQTINS","Costo",T,"N",12,4,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"",F,""
"ITEMLIQTALLERINSUMOS","Monto","LIQTINS","Monto",T,"N",15,4,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"",F,""
