entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMLIQTALLERPRODUCCION","Codigo","LIQTPROD","Codigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMLIQTALLERPRODUCCION","Comportamiento","LIQTPROD","Comp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMLIQTALLERPRODUCCION","IdItemInsumo","LIQTPROD","IdItem",F,"G",38,0,"CARACTER",F,"",F,"=goServicios.Librerias.ObtenerGuidPk()",F,""
"ITEMLIQTALLERPRODUCCION","Proceso","LIQTPROD","Proceso",T,"C",15,0,"CODIGO",F,"PROCESOPRODUCCION",F,"",T,""
"ITEMLIQTALLERPRODUCCION","ProcesoDetalle","LIQTPROD","ProcDeta",T,"C",250,0,"DESCRIPCION",F,"",F,"",F,"Proceso.Descripcion"
"ITEMLIQTALLERPRODUCCION","Semielaborado","LIQTPROD","SemiElab",T,"C",25,0,"CODIGO",F,"INSUMO",F,"",F,""
"ITEMLIQTALLERPRODUCCION","SemielaboradoDetalle","LIQTPROD","SemiDeta",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Semielaborado.Descripcion"
"ITEMLIQTALLERPRODUCCION","Color","LIQTPROD","codColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMLIQTALLERPRODUCCION","ColorDetalle","LIQTPROD","ColorDeta",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Color.Descripcion"
"ITEMLIQTALLERPRODUCCION","Talle","LIQTPROD","codTalle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMLIQTALLERPRODUCCION","TalleDetalle","LIQTPROD","TalleDeta",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Talle.Descripcion"
"ITEMLIQTALLERPRODUCCION","Cantidad","LIQTPROD","Cantidad",T,"N",14,6,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"",F,""
"ITEMLIQTALLERPRODUCCION","Resto","","",F,"N",14,6,"NUMERICO",F,"",F,"",F,""
"ITEMLIQTALLERPRODUCCION","Articulo","LIQTPROD","ArtLiq",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",T,""
"ITEMLIQTALLERPRODUCCION","ArticuloDetalle","LIQTPROD","ArtDesc",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
"ITEMLIQTALLERPRODUCCION","Costo","LIQTPROD","Costo",T,"N",12,4,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"",F,""
"ITEMLIQTALLERPRODUCCION","Monto","LIQTPROD","Monto",T,"N",15,4,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"",F,""
