entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMMERCENTRANSITO","Codigo","DETMTRANS","NUMR",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMMERCENTRANSITO","NoProcesarStock","DETMTRANS","ProcStock",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMMERCENTRANSITO","CodigoDeBarras","","",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMMERCENTRANSITO","Equivalencia","DETMTRANS","Equiv",F,"C",20,0,"DESCRIPCION",F,"Equivalencia",F,"",F,""
"ITEMMERCENTRANSITO","IdItemArticulos","DETMTRANS","IdItem",F,"G",38,0,"CARACTER",F,"",F,"=goServicios.Librerias.ObtenerGuidPk()",F,""
"ITEMMERCENTRANSITO","Comportamiento","DETMTRANS","COMP",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMMERCENTRANSITO","PorcentajeIVA","DETMTRANS","fporIva",F,"N",5,2,"NUMERICO",F,"",F,"",F,""
"ITEMMERCENTRANSITO","Articulo","DETMTRANS","MART",T,"C",15,0,"CONSOPORTEPREPANTALLA",F,"ARTICULO",F,"",T,""
"ITEMMERCENTRANSITO","ArticuloDetalle","DETMTRANS","DESCRIP",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
"ITEMMERCENTRANSITO","Color","DETMTRANS","cColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMMERCENTRANSITO","ColorDetalle","DETMTRANS","COLTXT",T,"C",50,0,"DESCRIPCION",F,"",F,"",F,"Color.Descripcion"
"ITEMMERCENTRANSITO","Talle","DETMTRANS","Talle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMMERCENTRANSITO","TalleDetalle","DETMTRANS","TALLTXT",F,"C",50,0,"DESCRIPCION",F,"",F,"",F,""
"ITEMMERCENTRANSITO","Cantidad","DETMTRANS","CANTI",T,"N",8,2,"NUMERICODECIMALPARAMETRIZADO",F,"",F,"",F,""
"ITEMMERCENTRANSITO","PrecioConImpuestos","DETMTRANS","prunconimp",F,"N",12,2,"PRECIONONEGATIVOPARAMETROFOCO",F,"",F,"",F,""
"ITEMMERCENTRANSITO","PrecioSinImpuestos","DETMTRANS","prunSInimp",F,"N",12,2,"PRECIONONEGATIVOPARAMETROFOCO",F,"",F,"",F,""
"ITEMMERCENTRANSITO","Descuento","DETMTRANS","FCFI",F,"N",7,2,"NUMERICOCONSIGNO",F,"",F,"",F,""
"ITEMMERCENTRANSITO","MontoDescuento","DETMTRANS","MNTDES",F,"N",12,2,"NUMERICO",F,"",F,"",F,""
