entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMMODELOINSUMO","Codigo","MODINS","CodModIns",F,"C",15,0,"CODIGO",T,"",F,"",F,""
"ITEMMODELOINSUMO","Proceso","MODINS","Proceso",T,"C",15,0,"CODIGO",F,"PROCESOPRODUCCION",F,"",T,""
"ITEMMODELOINSUMO","ColorM","MODINS","cColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMMODELOINSUMO","ColorMDetalle","MODINS","cColDet",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"ColorM.Descripcion"
"ITEMMODELOINSUMO","TalleM","MODINS","cTalle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMMODELOINSUMO","TalleMDetalle","MODINS","cTalleDet",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"TalleM.Descripcion"
"ITEMMODELOINSUMO","Insumo","MODINS","Insumo",T,"C",25,0,"CODIGO",F,"INSUMO",F,"",F,""
"ITEMMODELOINSUMO","InsumoDetalle","MODINS","InsDet",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Insumo.Descripcion"
"ITEMMODELOINSUMO","Color","MODINS","iColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMMODELOINSUMO","ColorDetalle","MODINS","IColDet",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Color.Descripcion"
"ITEMMODELOINSUMO","Talle","MODINS","iTalle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMMODELOINSUMO","TalleDetalle","MODINS","ITalleDet",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Talle.Descripcion"
"ITEMMODELOINSUMO","UnidadDeMedida","MODINS","UniMed",T,"C",3,0,"CODIGO",F,"UNIDADDEMEDIDA",F,"",F,""
"ITEMMODELOINSUMO","Cantidad","MODINS","Cantidad",T,"N",14,6,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"",F,""
