entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMMODELOSALIDA","Codigo","MODSAL","CodModSal",F,"C",15,0,"CODIGO",T,"",F,"",F,""
"ITEMMODELOSALIDA","Proceso","MODSAL","Proceso",T,"C",15,0,"CODIGO",F,"PROCESOPRODUCCION",F,"",T,""
"ITEMMODELOSALIDA","ColorM","MODSAL","cColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMMODELOSALIDA","ColorMDetalle","MODSAL","cColDet",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"ColorM.Descripcion"
"ITEMMODELOSALIDA","TalleM","MODSAL","cTalle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMMODELOSALIDA","TalleMDetalle","MODSAL","cTalleDet",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"TalleM.Descripcion"
"ITEMMODELOSALIDA","Semielaborado","MODSAL","SemiElab",T,"C",25,0,"CODIGO",F,"INSUMO",F,"",F,""
"ITEMMODELOSALIDA","SemielaboradoDetalle","MODSAL","SemiDeta",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Semielaborado.Descripcion"
"ITEMMODELOSALIDA","Color","MODSAL","iColor",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMMODELOSALIDA","ColorDetalle","MODSAL","IColDet",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Color.Descripcion"
"ITEMMODELOSALIDA","Talle","MODSAL","iTalle",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMMODELOSALIDA","TalleDetalle","MODSAL","ITalleDet",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Talle.Descripcion"
"ITEMMODELOSALIDA","Cantidad","MODSAL","Cantidad",T,"N",14,6,"NUMERICODECIMALPARAMETRIZADOPR",F,"",F,"=1",F,""
